,num_topics,scenario_r2,2,3
0,2,0.003966172842734261,121,193
1,2,0.005442108295853454,031,110
2,2,0.002309535572450061,099,019
3,2,0.0061440638358079,133,048
4,2,0.023348746244827412,153,123
5,2,0.012716022592812237,039,062
6,2,0.006448079676361629,193,067
7,2,0.017860386162850683,103,195
8,2,0.011878201434151525,141,057
9,2,0.003210255325673428,196,192
10,2,0.006586487033670152,103,064
11,2,0.002502761359025829,131,052
12,2,0.019090896039109517,013,195
13,2,0.0015454595856096986,140,042
14,2,0.002288960544627461,132,118
15,2,0.0018515282433636537,057,006
16,2,0.03933659961532243,155,133
17,2,0.04225525830379906,061,157
18,2,0.02662450880405931,051,033
19,2,0.006042820885496791,070,047
20,2,0.00957570214397585,079,027
21,2,0.0016594482330488658,000,087
22,2,0.0038451737360815086,005,183
23,2,0.00021798143380657997,071,080
24,2,0.005265704914569014,149,158
25,2,0.006541478715823668,036,055
26,2,0.001508272806532318,080,107
27,2,0.008892119057004932,088,190
28,2,0.006957238987999159,064,065
29,2,0.016995957330981026,101,177
30,2,0.0004820514653980368,140,036
31,2,0.0008079157052848229,081,106
32,2,0.00255090957914772,131,103
33,2,0.0014793449126336844,140,171
34,2,0.012106770868658634,077,134
35,2,0.01037912218517334,091,004
36,2,0.0015865387860100055,016,042
37,2,0.010449698041554156,129,188
38,2,0.007927593166890068,023,064
39,2,0.00018062734809309866,080,007
40,2,0.005767367902022369,104,038
41,2,0.0033875664251027393,058,040
42,2,0.002913892897323689,182,144
43,2,0.0175929732802087,091,097
44,2,0.00032622321558384293,094,080
45,2,0.004479693628652304,137,198
46,2,0.00538705392170713,057,114
47,2,0.013827070879829928,022,063
48,2,0.009013610983288456,067,083
49,2,0.007879212614565034,082,118
50,2,0.011626210020677763,089,001
51,2,0.0029187328946241875,161,170
52,2,0.0026534247069912587,048,031
53,2,0.0038840007079560257,140,116
54,2,0.00870931806426578,176,133
55,2,0.0019172872627867266,106,113
56,2,0.0012815019797769445,149,007
57,2,0.007621983190618131,082,015
58,2,0.0018887863371001012,014,057
59,2,0.0029890880649016127,057,032
60,2,0.00816963781137181,096,057
61,2,0.003530720138165244,042,031
62,2,0.005201589295796616,023,040
63,2,0.01173057927530452,158,074
64,2,0.0027422054395438433,059,160
65,2,0.00784617076998706,096,032
66,2,0.002863804004780701,059,182
67,2,0.0014342123610235902,016,046
68,2,0.0004458810202977448,045,103
69,2,0.0025105399916337534,170,049
70,2,0.028250460960405066,025,141
71,2,0.0022227148993426704,077,063
72,2,0.0067826100065124795,061,075
73,2,0.004871406118600152,175,005
74,2,0.0006521441783677862,177,006
75,2,0.011653106651854372,066,042
76,2,0.001227842640465382,175,152
77,2,0.01990696316142926,150,124
78,2,0.0012399083294820645,065,137
79,2,0.013592759837520396,048,073
80,2,0.004403275549167085,149,116
81,2,0.007306848546678957,000,189
82,2,0.004283941209738629,011,131
83,2,0.003082181577156562,174,018
84,2,0.019353836760217624,195,109
85,2,0.0061087226300921005,021,138
86,2,0.0008794015901739671,077,184
87,2,0.001682096843209524,061,007
88,2,0.01508028670185002,120,032
89,2,0.003365849000912524,080,060
90,2,0.016280817069987852,091,064
91,2,0.0015077137865389112,094,063
92,2,0.0022729661049634142,003,063
93,2,0.03403148789538857,168,173
94,2,0.005755013202855763,041,012
95,2,0.05562269457515945,157,143
96,2,0.02461448784732556,136,044
97,2,0.0017753970181210166,188,177
98,2,0.001185639570511765,045,106
99,2,0.018293409125225257,120,056
100,2,0.03380120513834972,173,066
101,2,0.022708319358007878,096,033
102,2,0.0009566358618994242,071,087
103,2,0.0036607711655042285,114,089
104,2,0.023430493596778623,140,123
105,2,0.00543073447447695,176,060
106,2,0.0014784643316833046,052,042
107,2,0.0027088527992182865,080,187
108,2,0.017503213068988055,120,078
109,2,0.002784100359975561,037,072
110,2,0.008861720531218031,039,129
111,2,0.03071085585148592,181,115
112,2,0.000818054501200205,049,137
113,2,0.014107463707465628,063,073
114,2,0.00144906906132658,072,153
115,2,0.011068111499281885,023,097
116,2,0.015596311319008072,156,150
117,2,0.005149360817710669,027,050
118,2,0.0010538165575892933,043,137
119,2,0.025207104520903467,124,146
120,2,0.003193147256399964,199,156
121,2,0.003917148149346628,199,045
122,2,0.006325766755317486,055,038
123,2,0.012746329594615635,120,003
124,2,0.005066865357708172,085,196
125,2,0.002485573488896442,023,026
126,2,0.026181032006964866,115,191
127,2,0.0012709462957970485,149,156
128,2,0.005504621217621075,060,131
129,2,0.007136812905224721,105,108
130,2,0.002261098403114503,159,192
131,2,0.01666797315956592,150,117
132,2,0.0034317583708270982,132,000
133,2,0.010087399338392866,181,127
134,2,0.005454583508584299,078,127
135,2,0.020520658185138263,079,054
136,2,0.002131964000495312,068,019
137,2,0.0026178235289530116,167,187
138,2,0.0037240716597899404,011,018
139,2,0.013623885806236968,073,039
140,2,0.0068716873547929325,008,011
141,2,0.0029652128427839486,065,131
142,2,0.0037327953978358863,188,144
143,2,0.015506535325617965,062,143
144,2,0.003030505457702004,081,085
145,2,0.006799199685516233,067,023
146,2,0.004208751262049004,184,142
147,2,0.024115895430369627,183,123
148,2,0.013797145852672998,181,102
149,2,0.0014890079991956018,069,038
150,2,0.0011663500382994574,183,016
151,2,0.004597443755664399,059,057
152,2,0.018460877891120386,120,130
153,2,0.00031477414107683455,118,014
154,2,0.003808470347811843,087,190
155,2,0.015243485327779749,076,062
156,2,0.016970088754530432,054,098
157,2,0.0018746789273588194,037,156
158,2,0.024298798603342164,041,123
159,2,0.0203546698539524,146,000
160,2,0.010462548517492842,141,045
161,2,0.0007100860120416996,103,183
162,2,0.02332317894998126,035,115
163,2,0.0093881390951559,131,055
164,2,0.007239944756076366,190,050
165,2,0.002120912446968881,196,071
166,2,0.0017326185145311035,027,003
167,2,0.0037670318634563937,125,092
168,2,0.004978645007251314,140,008
169,2,0.0007830207218169072,099,140
170,2,0.012382223520649882,017,046
171,2,0.0020266065466106875,192,108
172,2,0.01254820866424522,118,062
173,2,0.009411792941442565,053,149
174,2,0.0031551555831725864,156,193
175,2,0.0003600303413894279,039,036
176,2,0.0054815996994821425,198,185
177,2,0.005765559439646739,104,184
178,2,0.013574501306792275,029,165
179,2,0.008688673449391726,199,105
180,2,0.0042323844179757986,092,065
181,2,0.0005200905851781013,013,159
182,2,0.02354103068689828,123,161
183,2,0.004690533939314734,130,132
184,2,0.004123130072465009,144,172
185,2,0.015310560203273926,097,163
186,2,0.0051307780839273676,012,106
187,2,0.003192426924798708,040,015
188,2,0.000977495275967688,178,039
189,2,0.0031682746163266273,087,144
190,2,0.018117584589967706,044,011
191,2,0.008877420290211102,166,099
192,2,0.01701572186828637,107,101
193,2,0.009348635621592383,060,189
194,2,0.016104955505553797,164,069
195,2,0.0026197840769008884,187,182
196,2,0.01929545659947729,181,098
197,2,0.010535570522142157,149,017
198,2,0.0002975089898658023,094,052
199,2,0.013637947932078065,048,062
200,2,0.0002559502033490091,080,052
201,2,0.006820062583150266,077,064
202,2,0.0015076540837167807,122,063
203,2,0.012499953976687461,161,062
204,2,0.0023859338172171896,174,077
205,2,0.02510273657604256,101,074
206,2,0.0026174913403853584,170,058
207,2,0.0012262877351274515,177,106
208,2,0.014756946522048398,024,102
209,2,0.014968044112979806,181,104
210,2,0.008473616832401776,043,166
211,2,0.00589603850944409,089,104
212,2,0.0022503472499366683,171,149
213,2,0.007485533026730495,055,178
214,2,0.01345505148228554,151,189
215,2,0.0038750247003166427,085,169
216,2,0.005817549820929413,050,165
217,2,0.0023824972522150656,172,087
218,2,0.00799934416202408,117,085
219,2,0.018902454168595928,148,033
220,2,0.013054212989370817,175,029
221,2,0.0008344059321446773,183,094
222,2,0.007491768462458914,055,165
223,2,0.011877174325247819,096,064
224,2,0.011867887027298352,142,051
225,2,0.0019952609419056078,138,148
226,2,0.011039659636986054,166,092
227,2,0.0063672469921055574,055,081
228,2,0.0005771716720244235,160,148
229,2,0.0008460117534797584,052,178
230,2,0.012877616118678437,055,082
231,2,0.013595571262196127,056,029
232,2,0.006943037953243358,096,035
233,2,0.02352533538480861,054,044
234,2,0.005926034295121396,196,158
235,2,0.004899682404526429,032,114
236,2,0.007964865340102989,178,082
