,num_topics,scenario_r2,2,3
0,2,0.0023878208957807123,121,193
1,2,0.0038211505456244854,031,110
2,2,0.002733399432240935,099,019
3,2,0.0063708180599886255,133,048
4,2,0.04481279662568072,153,123
5,2,0.02566897136793267,039,062
6,2,0.0016533860132261768,193,067
7,2,0.0092739330158228,103,195
8,2,0.009876193165147984,141,057
9,2,0.00019799216420945953,196,192
10,2,0.006245047965610762,103,064
11,2,0.0034266673308482876,131,052
12,2,0.012186273705525386,013,195
13,2,0.0013152912562796049,140,042
14,2,0.0019448032003622773,132,118
15,2,0.00952028139969019,057,006
16,2,0.030914041049468932,155,133
17,2,0.0019247037367112751,061,157
18,2,0.008340730444006295,051,033
19,2,0.0011416055743149744,070,047
20,2,-5.928172454394698e-05,079,027
21,2,0.005904252896388407,000,087
22,2,0.02903637636803713,005,183
23,2,0.019890660240709068,071,080
24,2,0.021559790054686223,149,158
25,2,0.01598020360698238,036,055
26,2,0.020177401643740267,080,107
27,2,0.023789497451142227,088,190
28,2,0.005385034237912589,064,065
29,2,0.02983664112326856,101,177
30,2,0.0027213332262012724,140,036
31,2,0.005734425449723579,081,106
32,2,0.001224107304041544,131,103
33,2,0.0011782867044198841,140,171
34,2,0.001570357867378247,077,134
35,2,0.014843557542174701,091,004
36,2,0.012748038316934496,016,042
37,2,0.0008219379308139763,129,188
38,2,0.011095697443225583,023,064
39,2,0.022156364831248387,080,007
40,2,0.00044447365862243515,104,038
41,2,0.001634541892301944,058,040
42,2,0.0035811576628373976,182,144
43,2,0.0025347937727224767,091,097
44,2,0.027714750897793405,094,080
45,2,0.011035598648543754,137,198
46,2,0.009606602361770245,057,114
47,2,0.023986456053501026,022,063
48,2,0.0024344588553102398,067,083
49,2,0.010253270610772747,082,118
50,2,0.02460514018350335,089,001
51,2,0.010516622877510318,161,170
52,2,0.0019328716496247456,048,031
53,2,0.0014922081082271443,140,116
54,2,0.006230056114617799,176,133
55,2,0.017913686094042425,106,113
56,2,0.02240181660124363,149,007
57,2,0.014953623711921327,082,015
58,2,0.009606060730127708,014,057
59,2,0.010320764204511113,057,032
60,2,0.010063828349349824,096,057
61,2,0.0012803809711912084,042,031
62,2,0.008551821720855446,023,040
63,2,0.0040679513726327166,158,074
64,2,0.009051800585413106,059,160
65,2,0.0026051882797852866,096,032
66,2,0.008658667673506426,059,182
67,2,0.021665647309846325,016,046
68,2,0.004378785981464017,045,103
69,2,0.009609550503852371,170,049
70,2,0.0012343737670659216,025,141
71,2,0.023963105295534914,077,063
72,2,0.009578312727252847,061,075
73,2,0.02376125900962467,175,005
74,2,0.015033012429804593,177,006
75,2,0.00019766079220184807,066,042
76,2,0.0057851213571923354,175,152
77,2,0.002768595336936075,150,124
78,2,0.014153730847486723,065,137
79,2,0.0004182193407078483,048,073
80,2,0.023587754473906042,149,116
81,2,0.00877960383944043,000,189
82,2,0.0022120111906588358,011,131
83,2,0.02921259748956695,174,018
84,2,0.008344263164871912,195,109
85,2,0.0024925937515047902,021,138
86,2,0.002899188743539005,077,184
87,2,0.0030923289297297707,061,007
88,2,0.0013975667090385668,120,032
89,2,0.025006289016424432,080,060
90,2,0.006011083694563046,091,064
91,2,0.028512870114502653,094,063
92,2,0.030094055236156048,003,063
93,2,0.01290132415664258,168,173
94,2,0.0026940808605249167,041,012
95,2,0.01488375888128679,157,143
96,2,0.023329909695769313,136,044
97,2,0.015057417055850952,188,177
98,2,0.008141766229854741,045,106
99,2,0.008089365058578601,120,056
100,2,0.010197386454802393,173,066
101,2,0.007900352492258622,096,033
102,2,0.0052731860950391285,071,087
103,2,0.0010103670245233953,114,089
104,2,0.04511824974753831,140,123
105,2,0.0070764080449466915,176,060
