,num_topics,evidence_r2,evidence_aic,evidence_bic,4,5
0,2,0.05808858556885821,41139.64804858405,41164.3265003657,121,193
1,2,0.007734582224170672,42577.87274426449,42602.55119604614,031,110
2,2,0.020359468413476356,42224.25180104444,42248.93025282609,099,019
3,2,0.026503407756119923,42050.509172872145,42075.187624653794,133,048
4,2,0.0089648135472572,42543.612609917465,42568.291061699114,153,123
5,2,0.016639941135838887,42328.90646974941,42353.58492153106,039,062
6,2,0.02405823081389613,42119.78660496191,42144.46505674356,193,067
7,2,0.01543224507151264,42362.80175642162,42387.48020820327,103,195
8,2,0.01273658689432522,42438.308568368004,42462.98702014965,141,057
9,2,0.010463228711375727,42501.82645728049,42526.50490906214,196,192
10,2,0.005873899058418508,42629.60941435206,42654.28786613371,103,064
11,2,0.0009650689088310793,42765.637086296825,42790.315538078474,131,052
12,2,0.03549815141293644,41794.161572974524,41818.84002475617,013,195
13,2,0.008778888085369418,42548.793087915976,42573.471539697624,140,042
14,2,0.012270553227736514,42451.34151267564,42476.019964457286,132,118
15,2,0.009237296192216693,42536.0186157896,42560.69706757125,057,006
16,2,0.003631874455702566,42691.82087599705,42716.4993277787,155,133
17,2,0.023321754489476043,42140.618647024945,42165.29709880659,061,157
18,2,0.009885230837019532,42517.95251727198,42542.63096905363,051,033
19,2,0.015788062151562365,42352.81969024562,42377.49814202727,070,047
20,2,0.0002918284433304219,42784.240987292156,42808.919439073805,079,027
21,2,0.019558572595754886,42246.819775849406,42271.498227631055,000,087
22,2,0.011018555056855117,42486.32405489302,42511.00250667467,005,183
23,2,0.015024106842643548,42374.24719506496,42398.92564684661,071,080
24,2,0.024297446625772157,42113.01674037389,42137.69519215554,149,158
25,2,0.008356021501530253,42560.57188599235,42585.250337774,036,055
26,2,0.014599072669211677,42386.16140740598,42410.83985918763,080,107
27,2,0.017610680832534253,42301.631426508706,42326.309878290354,088,190
28,2,0.02863465679314392,41989.983954199255,42014.662405980904,064,065
29,2,0.03491975880931708,41810.71737612438,41835.39582790603,101,177
30,2,0.003993908421725867,42681.78467895151,42706.46313073316,140,036
31,2,0.0006237588676040184,42775.07019828216,42799.74865006381,081,106
32,2,0.005871031580984343,42629.689070386186,42654.367522167835,131,103
33,2,0.00429756938176129,42673.36386732788,42698.042319109525,140,171
34,2,0.0056175425843763005,42636.729866910966,42661.408318692615,077,134
35,2,0.030412868728598275,41939.38290631745,41964.0613580991,091,004
36,2,0.006527205829331084,42611.45512730791,42636.13357908956,016,042
37,2,0.0039719357706234915,42682.39390217302,42707.07235395467,129,188
38,2,0.03675725743021496,41758.086797428805,41782.76524921045,023,064
39,2,0.018163518938001055,42286.08618978295,42310.7646415646,080,007
40,2,0.016981127569424714,42319.323164624955,42344.001616406604,104,038
41,2,0.027034004363010733,42035.45318736277,42060.13163914442,058,040
42,2,0.00887434566170553,42546.1334559333,42570.811907714946,182,144
43,2,0.03114888766193946,41918.411487798505,41943.08993958015,091,097
44,2,0.025124680895324825,42089.59301217529,42114.27146395694,094,080
45,2,0.012097189568287092,42456.18817461304,42480.86662639469,137,198
46,2,0.007610830543687719,42581.316695100715,42605.995146882364,057,114
47,2,0.004067604155527427,42679.74126104636,42704.41971282801,022,063
48,2,0.00029557916358402547,42784.13737697089,42808.81582875254,067,083
49,2,0.013071370755960654,42428.942315224216,42453.620767005865,082,118
50,2,0.026735587212709633,42043.921956581085,42068.600408362734,089,001
51,2,0.02794964748443829,42009.451963945474,42034.13041572712,161,170
52,2,0.027701741085251252,42016.494099411095,42041.17255119274,048,031
53,2,0.018698222456499658,42271.0425496651,42295.72100144675,140,116
54,2,0.014355140115666964,42392.99680562634,42417.67525740799,176,133
55,2,0.0004101134760740033,42780.97328095408,42805.65173273573,106,113
56,2,0.021566154194948672,42190.21444358298,42214.89289536463,149,007
57,2,0.005731255394852641,42633.57165296742,42658.250104749066,082,015
58,2,0.0013239166379608314,42755.71579245348,42780.394244235125,014,057
59,2,0.002990310802360341,42709.59715737374,42734.27560915539,057,032
60,2,0.0036478288141332804,42691.37867087358,42716.05712265523,096,057
61,2,0.007218383151004093,42592.23548094251,42616.91393272416,042,031
62,2,0.043480741161711856,41564.64981331432,41589.328265095966,023,040
