,num_topics,scenario_r2,2,3,4,5,6,7,8
84,7,0.017515152978815007,041,001,026,107,177,190,196
85,7,0.01911064122806827,085,182,006,120,190,089,013
86,7,0.019279255712902232,172,071,091,075,138,161,003
87,7,0.01722340429033864,004,144,069,105,001,140,192
88,7,0.039992305575042186,161,082,122,155,038,061,130
89,7,0.018509309659187956,168,072,150,060,159,163,121
90,7,0.027361587416946942,096,105,029,118,004,044,116
91,7,0.03975970756858538,067,053,004,073,099,195,114
92,7,0.018114384053982135,070,008,113,054,193,121,007
93,7,0.02887492470493691,150,088,052,156,174,091,122
94,7,0.022360886221455045,074,003,187,151,059,168,077
95,7,0.061198059084868195,001,046,166,105,121,157,182
96,7,0.022467648714724175,158,091,007,166,132,188,108
97,7,0.011630325601206581,015,189,040,161,137,107,084
98,7,0.02123067934684142,191,085,177,109,075,189,057
99,7,0.026173213969156728,049,070,075,091,198,099,102
100,7,0.04793010301929779,138,175,008,157,184,053,177
101,7,0.030210099467665064,130,146,031,038,027,032,129
102,7,0.02615066348236872,004,137,096,198,076,021,129
103,7,0.024459746468798338,189,114,140,012,036,049,034
104,7,0.04508197765619548,108,071,164,098,190,146,073
105,7,0.022171337291789772,102,061,103,153,119,083,158
106,7,0.022633767430860985,016,089,026,008,132,119,143
107,7,0.030825354612060596,038,085,037,199,143,044,136
108,7,0.05387344297782959,039,076,155,058,166,064,134
109,7,0.042226275164666593,159,007,013,051,123,001,122
110,7,0.027191594574873745,168,006,106,047,032,066,163
111,7,0.016205219364007983,174,105,117,070,035,068,094
112,7,0.041393879315970605,172,184,123,062,075,094,133
113,7,0.03262023333358943,195,119,188,003,150,161,121
114,7,0.012347799591881925,194,118,169,185,175,109,012
115,7,0.033476854752952145,166,156,049,067,044,078,198
116,7,0.04777589326634957,187,024,168,016,183,037,157
117,7,0.03910219175781193,137,021,119,123,042,089,151
118,7,0.03240915464047245,172,178,187,055,134,127,195
119,7,0.019417411792089223,163,049,013,026,103,151,068
120,7,0.02888835651553856,129,001,015,124,168,130,104
121,7,0.033069478371058,198,187,119,167,140,037,101
122,7,0.03437569094891746,072,074,079,121,097,115,057
123,7,0.01916449803558007,045,084,153,113,178,124,163
