,num_topics,evidence_r2,2,3,4
0,3,0.0020053300758021697,143,190,129
1,3,0.0013377743631556305,078,031,015
2,3,0.026095333800114306,068,109,035
3,3,0.06712962543653411,023,177,152
4,3,0.00676513826597791,005,068,117
5,3,0.03250205790150551,047,122,168
6,3,0.010203774179176506,198,183,096
7,3,0.011104020341754617,019,054,131
8,3,0.04765736232493967,063,098,047
9,3,0.042661522229746174,198,127,048
10,3,0.03596706982896647,107,136,147
11,3,0.011195073818963674,155,097,058
12,3,0.09282654249338362,134,141,168
13,3,0.08506533653963322,006,132,091
14,3,0.03439360578101136,155,110,113
15,3,0.03668630905674142,108,040,155
16,3,0.07221699702129425,071,134,183
17,3,0.07487366137659102,015,166,187
18,3,0.030002825212412487,110,067,056
19,3,0.048866664028263784,055,090,096
20,3,0.015425695763259806,143,054,124
21,3,0.05957380792535716,065,015,019
22,3,0.05578552509923973,168,024,158
23,3,0.02354830441462652,121,183,163
24,3,0.03282724691985206,064,110,125
25,3,0.011803404578159649,121,037,113
26,3,0.08984960458018687,110,165,134
27,3,0.02669603542656407,000,190,163
28,3,0.0377231403220345,124,088,133
29,3,0.018449451419789153,170,104,041
30,3,0.004067405101359056,021,103,067
31,3,0.006788734021358711,147,129,069
32,3,0.0025765828638688593,014,176,016
33,3,0.09558928732788496,065,163,004
34,3,0.029146625504415602,150,045,199
35,3,0.016263171516616826,090,124,138
36,3,0.04888333616699714,081,060,141
37,3,0.03823214835998823,122,047,019
38,3,0.014987268302874779,008,185,001
39,3,0.0496906494199193,000,034,027
40,3,0.010482270403550986,084,158,040
41,3,0.08527615805699063,075,173,035
42,3,0.025591370512531797,069,123,037
43,3,0.09209816980372443,001,184,101
44,3,0.02511954259761895,007,194,192
45,3,0.004880210881427649,040,041,056
46,3,0.032669212103808354,094,170,018
47,3,0.007363606164952796,050,117,103
48,3,0.011996107270465517,183,159,019
49,3,0.051840818529026444,181,163,127
50,3,0.0285723434175138,166,006,163
51,3,0.013225149713294249,033,016,185
52,3,0.027052765011586266,190,132,004
53,3,0.088563580146096,081,173,007
54,3,0.031217511571816958,060,172,088
55,3,0.002790079210399865,090,068,129
56,3,0.03330560276482264,047,185,199
57,3,0.0018287195623498675,090,039,038
58,3,0.04597132710355922,047,183,088
59,3,0.004567105875461053,184,103,176
60,3,0.004867213885020871,076,167,057
61,3,0.046165690628589884,044,035,046
62,3,0.006523889442412334,042,057,080
63,3,0.0014736566730714218,039,071,140
64,3,0.01437367570018211,074,040,019
65,3,0.023836422514826316,168,121,123
66,3,0.05471574174737026,110,167,119
67,3,0.06949288364742712,148,164,005
68,3,0.07958210078128003,015,022,041
69,3,0.016778763788057205,160,169,071
70,3,0.005619902054770365,001,061,057
71,3,0.07610804595168086,122,003,092
72,3,0.0710444770030727,085,199,164
73,3,0.03913970585375892,141,184,005
74,3,0.024071719831053495,183,178,150
75,3,0.029865194187736477,114,140,129
76,3,0.05484040256357692,026,087,065
77,3,0.0464478721977728,189,043,191
78,3,0.007912237116929344,140,182,129
79,3,0.0027624916954156475,131,183,075
80,3,0.019789081086665994,069,004,165
81,3,0.03138424076507984,043,152,177
82,3,0.029936883718790663,081,150,016
83,3,0.1714301304868735,157,058,035
84,3,0.0012004220877183114,031,050,104
85,3,0.012162306510555831,059,012,064
86,3,0.05996790341958724,065,032,107
87,3,0.04938087623860121,155,141,166
88,3,0.09468469535227375,101,087,158
89,3,0.03148086064970612,043,039,143
90,3,0.01900283971026928,192,069,076
91,3,0.06437158594375592,014,068,072
92,3,0.037370875690608485,116,031,195
93,3,0.005636832046937101,027,078,125
94,3,0.08714682040035204,081,029,171
95,3,0.014944488147231483,051,000,158
96,3,0.05885700317001008,169,118,050
97,3,0.02377375589885966,195,012,175
98,3,0.058342488479002585,057,024,196
99,3,0.008887244692476592,085,160,178
100,3,0.010810016587042615,060,087,148
