,num_topics,evidence_r2,2,3
0,2,0.01675104989808729,121,193
1,2,0.029754942219828218,031,110
2,2,0.008421812278514462,099,019
3,2,0.020316450940865427,133,048
4,2,0.019110475205389443,153,123
5,2,0.012922313260857021,039,062
6,2,0.008207382701214572,193,067
7,2,0.012624930411642366,103,195
8,2,0.039304355253518275,141,057
9,2,0.010920743591205095,196,192
10,2,0.00746677769491344,103,064
11,2,0.03751927282354983,131,052
12,2,0.01130620018161177,013,195
13,2,0.0015551208031148178,140,042
14,2,0.05358653297825111,132,118
15,2,0.002665683172659694,057,006
16,2,0.011871610414318834,155,133
17,2,0.17014856916268917,061,157
18,2,0.017424962216776585,051,033
19,2,0.029671088793040812,070,047
20,2,0.02171025810352145,079,027
21,2,0.007100257111536945,000,087
22,2,0.0020941710649261536,005,183
23,2,0.0034139768184451302,071,080
24,2,0.004511899869729774,149,158
25,2,0.0445082983141476,036,055
26,2,0.014546415710504523,080,107
27,2,0.022956148036624935,088,190
28,2,0.055431894178701424,064,065
29,2,0.092389794074212,101,177
30,2,0.0031754845405611576,140,036
31,2,0.00745450166982442,081,106
32,2,0.004667696705258684,131,103
33,2,0.08113396251590721,140,171
34,2,0.07225388860921833,077,134
35,2,0.13075703929074023,091,004
36,2,0.0005022825592377878,016,042
37,2,0.007178693455025642,129,188
38,2,0.06703943776577204,023,064
39,2,0.012513628983633618,080,007
40,2,0.0005263132633717138,104,038
41,2,0.005158385533615584,058,040
42,2,0.018525872377068042,182,144
43,2,0.08312520936717349,091,097
44,2,0.010294939962591121,094,080
45,2,0.007457232996063046,137,198
46,2,0.030320318143791436,057,114
47,2,0.07971300253368663,022,063
48,2,0.015558953043332768,067,083
49,2,0.05230892818644228,082,118
50,2,0.04549597514809156,089,001
51,2,0.0199638711280975,161,170
52,2,0.015613300381787654,048,031
53,2,0.0328560844566429,140,116
54,2,0.003864041798380069,176,133
55,2,0.005285055400216621,106,113
56,2,0.011870479473483408,149,007
57,2,0.012743472318153426,082,015
58,2,0.004903857839794967,014,057
59,2,0.0029641697882683005,057,032
60,2,0.00818244033039528,096,057
61,2,0.00040846156280871515,042,031
62,2,0.06853358110488006,023,040
63,2,0.006673738922171379,158,074
64,2,0.009303971754985096,059,160
65,2,0.005923366383652318,096,032
66,2,0.014967045946197355,059,182
67,2,0.012971712834602411,016,046
68,2,0.003356530615770792,045,103
69,2,0.018810786745610097,170,049
70,2,0.05525867150476649,025,141
71,2,0.007143422241015607,077,063
72,2,0.0013963234914763367,061,075
73,2,0.012903973695435611,175,005
74,2,0.0026145899432460373,177,006
75,2,0.0005231366098823464,066,042
76,2,0.013020404973887678,175,152
77,2,0.03228848081476621,150,124
78,2,0.05251715274893676,065,137
79,2,0.024572223021467554,048,073
80,2,0.0326279824825807,149,116
81,2,0.013240139428334352,000,189
82,2,0.016456883010312118,011,131
83,2,0.010728675550229938,174,018
84,2,0.025419565948998524,195,109
85,2,0.0029758838492832673,021,138
86,2,0.005155689593599355,077,184
87,2,0.010189808177042514,061,007
88,2,0.149585070741879,120,032
89,2,0.009669294076865897,080,060
90,2,0.0869091719057089,091,064
91,2,0.009608477813339622,094,063
92,2,0.07204268624765453,003,063
93,2,0.08518285779041568,168,173
94,2,0.0012903151585261785,041,012
95,2,0.17291711765729267,157,143
96,2,0.03715063031246979,136,044
97,2,0.008365249230036564,188,177
98,2,0.0042225130723811954,045,106
99,2,0.1447427423003086,120,056
100,2,0.08302864075324978,173,066
101,2,0.012739735124355778,096,033
102,2,0.0037294377348850993,071,087
103,2,0.0646506033085762,114,089
104,2,0.017609706061119224,140,123
105,2,0.006484607167517642,176,060
106,2,0.03633835831857135,052,042
107,2,0.07703786085585973,080,187
108,2,0.14288923133456188,120,078
109,2,0.06689574056936742,037,072
110,2,0.0007400574415140637,039,129
111,2,0.011250267022538507,181,115
112,2,0.0017095179930324278,049,137
113,2,0.015397389950342899,063,073
114,2,0.06564666131129038,072,153
115,2,0.06576856566695344,023,097
116,2,0.027425587769261517,156,150
117,2,0.0064986106660717136,027,050
118,2,0.031477280403598984,043,137
119,2,0.058371378563683685,124,146
120,2,0.0023267815353780197,199,156
121,2,0.0008380254392529318,199,045
122,2,0.04359929182350608,055,038
123,2,0.20347152687775893,120,003
124,2,0.008657354999637268,085,196
125,2,0.0656699892211916,023,026
126,2,0.012251044627499375,115,191
127,2,0.003785979036274756,149,156
128,2,0.008521240831666943,060,131
129,2,0.03172472425327555,105,108
130,2,0.011695213096732271,159,192
131,2,0.02304541879820965,150,117
132,2,0.017494987438976706,132,000
133,2,0.042001982449513475,181,127
134,2,0.035298161984038234,078,127
135,2,0.0162338741136685,079,054
136,2,0.00928600216158948,068,019
137,2,0.07272343925136981,167,187
138,2,0.02818522346989516,011,018
139,2,0.00871321269063463,073,039
140,2,0.029911732867044738,008,011
141,2,0.05313661845015172,065,131
142,2,0.01896505273312532,188,144
143,2,0.017637844290910865,062,143
144,2,0.012612813410966872,081,085
145,2,0.0658408558695528,067,023
146,2,0.004421837859889477,184,142
147,2,0.017620117333844276,183,123
148,2,0.024290842458945305,181,102
149,2,0.004701412890351642,069,038
150,2,0.0012083501291468846,183,016
151,2,0.011584203543044902,059,057
152,2,0.14234351073995455,120,130
153,2,0.04561856024085931,118,014
154,2,0.004892189937487523,087,190
155,2,0.016508944424777794,076,062
156,2,0.016037924284603378,054,098
157,2,0.008272807623196154,037,156
158,2,0.017793222110490503,041,123
159,2,0.05082603242359385,146,000
160,2,0.037283306802091354,141,045
161,2,0.004186357502962701,103,183
162,2,0.01338328916090925,035,115
163,2,0.04428605877994607,131,055
164,2,0.0014310698633467345,190,050
165,2,-8.52721572419668e-06,196,071
166,2,0.06872540543392791,027,003
167,2,0.015392013601982724,125,092
168,2,0.012196828930415626,140,008
169,2,0.0016004801303404204,099,140
170,2,0.054356430800234334,017,046
171,2,0.0434012714119234,192,108
172,2,0.05309850264091709,118,062
173,2,0.06750650318213913,053,149
174,2,0.008721698181031079,156,193
175,2,0.0016857822700528935,039,036
176,2,0.009966181355889003,198,185
177,2,0.00094594688147287,104,184
178,2,0.006441577634194506,029,165
179,2,0.0015946803035203905,199,105
180,2,0.06606848702142476,092,065
181,2,0.0035320552959194895,013,159
182,2,0.019697156237148294,123,161
183,2,0.018840364748195615,130,132
184,2,0.016335088592791314,144,172
185,2,0.021926605222324147,097,163
186,2,0.004233104695805845,012,106
187,2,0.0033840463829071243,040,015
188,2,0.00013751637166625752,178,039
189,2,0.016261697250909535,087,144
190,2,0.0428520674519991,044,011
191,2,0.006001499403021304,166,099
192,2,0.09487706036241672,107,101
193,2,0.015264379309398723,060,189
194,2,0.06953182646789602,164,069
195,2,0.0780966468664338,187,182
196,2,0.01980090158467185,181,098
197,2,0.033970595951034466,149,017
198,2,0.043083449785566885,094,052
199,2,0.022518750629248796,048,062
200,2,0.03964196497784234,080,052
201,2,0.008467653526853414,077,064
202,2,0.005272948530468002,122,063
203,2,0.014512408566514812,161,062
204,2,0.004218094526381222,174,077
205,2,0.09641582804319704,101,074
206,2,0.017818762372072694,170,058
207,2,0.007154837539258607,177,106
208,2,0.06361846717910813,024,102
209,2,0.004220390489953263,181,104
210,2,0.03802995010147647,043,166
211,2,0.043684782249297394,089,104
212,2,0.08302997748350172,171,149
213,2,0.04367527934816906,055,178
214,2,0.030934846769964164,151,189
215,2,0.024468813610108775,085,169
216,2,0.001336421482199035,050,165
217,2,0.006020813856525198,172,087
218,2,0.01087072133424738,117,085
219,2,0.010537064592742396,148,033
220,2,0.01969731224818616,175,029
221,2,0.008205563498498658,183,094
222,2,0.04416333525801763,055,165
223,2,0.00867015854715636,096,064
224,2,0.012716847316172064,142,051
225,2,0.0051168282529822084,138,148
226,2,0.023372380787460956,166,092
227,2,0.047632576405378546,055,081
228,2,0.002182260532507363,160,148
229,2,0.03623678028736088,052,178
230,2,0.0586278188653665,055,082
231,2,0.007084034160547925,056,029
232,2,0.010768939795442911,096,035
233,2,0.021097023496085443,054,044
234,2,0.003521494437540129,196,158
235,2,0.02834869264673101,032,114
236,2,0.011266791970973133,178,082
237,2,-4.931669639551828e-06,006,012
238,2,0.14238030872052143,120,131
239,2,0.012986698357514204,155,198
240,2,0.0007449797599339281,026,038
241,2,0.0032195096400756684,061,014
242,2,0.14231196154082182,181,120
243,2,0.017006090977342403,048,027
244,2,0.04284210156365076,115,034
245,2,0.009486521343941012,133,063
246,2,0.15746837897140886,120,144
247,2,0.0012663970978669115,097,143
248,2,0.06606848702142476,065,092
249,2,0.009557198878998086,159,094
250,2,0.010047608106506956,013,007
251,2,0.013713944182744298,132,148
252,2,0.02078707181563333,001,109
253,2,0.05031371229343695,092,141
254,2,0.02920580143386986,081,136
255,2,0.029310401800688668,047,129
256,2,0.0008878075417273479,056,199
257,2,0.06656365735151903,053,015
258,2,0.006383389797633754,042,155
259,2,0.0072864825830617486,183,060
260,2,0.010708885226972442,181,027
261,2,0.03852435230601392,184,141
262,2,0.010913223941239725,049,018
263,2,0.04980372461949378,119,123
264,2,0.062074808851226515,055,114
265,2,0.00043975422827124966,078,075
266,2,0.0013521875827410268,050,049
267,2,0.07367661214983934,164,059
268,2,0.14177605522088932,187,022
269,2,0.004819636247146097,063,039
270,2,0.04894022972201695,115,146
271,2,0.00044654134241206567,078,196
272,2,0.008746151727490048,085,039
273,2,0.022123657680159114,068,163
274,2,0.003071203184735416,074,021
275,2,0.008990579511038876,193,131
276,2,0.08028670696416362,003,189
277,2,0.0437677571579046,141,182
278,2,0.0014208876759661537,090,125
279,2,0.02973589926514808,192,047
280,2,0.013796469169532255,195,081
281,2,0.029436015945754734,123,132
282,2,0.08220316120147986,034,134
283,2,0.008908657739043035,014,029
284,2,0.0007701409005420601,012,015
285,2,0.055409255340711505,159,024
286,2,0.04471111515182358,029,034
287,2,0.012028307648093706,085,103
288,2,0.021409684708797005,058,025
289,2,0.007949521022233674,131,037
290,2,0.0033876913266018827,001,177
291,2,0.01980090158467207,098,181
292,2,0.04283672002276118,060,052
293,2,0.005503498278161545,140,121
294,2,0.016914676540987217,079,159
295,2,0.05487273667414594,038,024
296,2,0.01563379104247642,075,004
297,2,0.025473530649473664,102,195
298,2,0.021174004991344475,192,094
299,2,0.035300852209785294,127,097
300,2,0.007516179694904812,001,166
301,2,0.0052655010838333904,077,147
302,2,0.012631300138700952,076,189
303,2,0.14527378471349717,015,120
304,2,0.035107504588654415,043,073
305,2,0.01478406906021601,079,068
306,2,0.030571550838935035,110,041
307,2,0.001123873307900758,152,032
308,2,0.0756687627452377,065,047
309,2,0.05132156261718812,116,088
310,2,0.016078311251290445,081,008
311,2,0.0012718021415460967,032,199
312,2,0.003235740991959113,131,036
313,2,0.030302435648685733,114,153
314,2,0.013358773558664883,094,000
315,2,0.04286692191931629,006,118
316,2,0.0014505440074999987,140,196
317,2,0.0035740678834148554,149,137
318,2,0.001988834615880175,104,156
319,2,0.025908073276441956,088,057
320,2,0.025029367528801805,088,036
321,2,0.015948442272201824,199,011
322,2,0.059205606293783686,063,146
323,2,0.004972797310917598,158,041
324,2,0.0017230337429042786,190,129
325,2,0.002250211646650513,178,148
326,2,0.021167737432407407,163,113
327,2,0.001357247626811664,125,174
328,2,0.009516932148116442,007,006
329,2,0.025074910853444488,033,092
330,2,0.010514899884434326,018,064
331,2,0.06716503852582867,053,147
332,2,0.0521243641800373,090,065
333,2,0.003973532610135555,178,161
334,2,0.021598428593738284,163,012
335,2,0.016985579635407144,004,152
336,2,0.05466497025202899,159,146
337,2,0.0009070517369756947,152,167
338,2,0.008993063040374949,158,063
339,2,0.0003534957657082005,165,071
340,2,0.03530490712067014,027,127
341,2,0.01733885402542723,138,011
342,2,0.0038295317387799788,084,143
343,2,0.06992473990342685,013,134
344,2,0.06633016877049214,072,033
345,2,0.004306382990272084,183,064
346,2,0.022613834716165848,098,051
347,2,0.07265627992070345,062,023
348,2,0.07874004867651041,070,134
349,2,0.08312520936717338,097,091
350,2,0.005290640451683926,172,076
351,2,0.006077369928560006,167,166
352,2,0.04666955207004564,148,089
353,2,0.004705378803468552,026,000
354,2,0.020656001880271613,167,102
355,2,0.00945163341665245,090,085
356,2,0.044091596128798316,051,141
357,2,0.01398744796672613,121,192
358,2,0.02535011546187005,130,004
359,2,0.009093622530368384,195,071
360,2,0.07180793848873013,122,134
361,2,0.14273408130922982,012,120
362,2,0.01089745313050583,084,182
363,2,0.024148491384009874,168,163
364,2,0.1315801585678784,003,053
365,2,0.0147931745725699,006,083
366,2,0.009049811573694444,064,188
