,num_topics,evidence_r2,2,3,4,5,6,7,8
0,7,0.04051307092276213,069,014,043,165,077,058,006
1,7,0.042728746164997666,096,004,107,194,153,039,172
2,7,0.20018018167829332,006,074,116,120,097,087,089
3,7,0.18464502728882437,151,087,122,013,039,134,187
4,7,0.07920780381634296,114,096,031,054,118,033,190
5,7,0.05140659000425962,070,170,018,182,042,152,150
6,7,0.17137333136669164,079,091,120,123,165,032,042
7,7,0.10207662624101721,142,159,118,067,023,071,188
8,7,0.054326317377841216,039,089,138,137,077,153,168
9,7,0.06640106726961326,008,062,189,032,061,143,119
10,7,0.055072436256024204,192,036,156,108,081,064,181
11,7,0.04320320848669357,195,088,000,103,006,035,194
12,7,0.0519946283051993,193,077,163,181,106,121,195
13,7,0.13994836946579015,132,034,089,065,053,148,195
14,7,0.15760444661809714,164,189,042,193,134,131,108
15,7,0.025136167216562866,012,084,107,075,183,035,001
16,7,0.12405382634702877,115,110,183,177,173,001,109
17,7,0.026192622239878283,113,182,063,196,131,077,000
18,7,0.03283006066450389,014,060,026,032,078,044,143
19,7,0.12750220180987193,102,099,159,108,119,101,096
20,7,0.021395904701437374,194,035,066,174,051,172,158
21,7,0.03429993631773376,056,183,071,045,107,170,191
22,7,0.022235635958558597,176,104,177,113,063,018,142
23,7,0.08653040845586724,196,133,088,138,032,053,152
24,7,0.16458044402574556,069,039,004,027,198,016,091
25,7,0.15869192032571455,146,134,188,173,096,021,151
26,7,0.13528942908599706,187,065,060,178,165,133,049
27,7,0.11619219864480068,069,015,088,091,165,073,090
28,7,0.06711765168324402,048,141,029,067,143,121,038
29,7,0.04424128899467894,137,025,163,143,178,166,165
30,7,0.041404330844707626,177,035,152,026,076,043,070
31,7,0.06170796414744939,177,147,165,123,017,069,130
32,7,0.07063925938305804,155,150,044,031,081,129,083
33,7,0.15653719995419746,171,061,065,195,091,074,158
34,7,0.03180250345699487,153,071,140,163,070,137,080
35,7,0.16941503387531154,176,147,120,152,110,194,071
36,7,0.08630172344489462,146,076,098,168,087,163,043
37,7,0.14256489772847347,006,148,156,049,053,091,089
38,7,0.018465226889196273,080,090,106,049,161,012,103
39,7,0.02830330962496197,033,177,172,015,167,121,094
40,7,0.0354428372937321,077,035,155,032,104,041,109
41,7,0.03630674169081094,177,136,051,104,015,087,199
42,7,0.09569362997738895,085,199,064,174,035,171,014
43,7,0.09479376596420874,012,165,140,077,062,029,171
44,7,0.10858641377385625,106,013,171,074,069,055,108
45,7,0.17354877440059102,065,184,091,153,151,074,108
46,7,0.17094278789541273,054,057,091,017,023,185,043
47,7,0.08280791656973796,189,073,155,109,074,014,141
48,7,0.06059495499116041,081,192,085,032,127,170,137
49,7,0.1381410785943149,014,147,055,192,134,163,123
50,7,0.09623758523855686,125,036,099,022,081,082,104
51,7,0.03530437428281086,183,031,058,059,124,106,035
52,7,0.19783656332311728,031,182,013,052,120,005,170
53,7,0.03238649670704419,104,158,163,105,106,074,194
54,7,0.07979501912582199,044,108,158,170,090,037,061
55,7,0.10367845513725205,168,184,199,185,039,171,119
56,7,0.12994223651782622,097,195,188,072,133,019,091
57,7,0.07243897495236995,146,169,133,099,193,007,026
58,7,0.07094629707636657,078,064,125,012,077,053,032
59,7,0.061172869767858296,167,159,007,119,178,044,005
60,7,0.10083329006679564,059,119,065,069,193,081,011
61,7,0.13277922458635216,025,118,149,151,137,001,053
62,7,0.08054822865585876,117,061,034,050,136,176,175
63,7,0.06997105576722895,183,107,039,025,122,138,052
64,7,0.03096909074939347,196,038,174,155,012,124,008
65,7,0.1374645085091647,136,017,070,184,099,165,091
66,7,0.11322215024477311,188,006,167,073,134,155,110
67,7,0.09834426080684999,066,043,164,160,163,076,131
68,7,0.03510258196333804,190,068,011,168,147,063,153
69,7,0.033408028324934724,195,174,013,113,175,122,069
70,7,0.09474426030916139,169,060,074,099,069,109,072
71,7,0.044156189584274586,188,066,070,071,029,150,007
72,7,0.029407356181078925,098,035,042,014,099,029,199
73,7,0.03507898798072984,008,104,038,142,018,025,036
74,7,0.0649795375052109,138,141,192,194,099,066,123
75,7,0.22084988300924413,042,119,108,120,061,144,140
76,7,0.20961415503286485,134,123,164,091,042,157,085
77,7,0.06358704516045655,155,163,127,097,194,044,012
78,7,0.15017208577079388,146,134,055,196,083,069,151
79,7,0.08450795394261701,184,036,131,164,068,142,124
80,7,0.13537986276665248,110,055,178,117,177,171,153
81,7,0.05065956492733581,082,057,175,037,117,140,182
82,7,0.0868439538139345,194,183,089,177,047,041,046
83,7,0.03520325083554665,041,169,149,172,057,117,144
84,7,0.01911245875148515,041,001,026,107,177,190,196
85,7,0.1847094621811034,085,182,006,120,190,089,013
86,7,0.1588211192304031,172,071,091,075,138,161,003
87,7,0.04415649331068561,004,144,069,105,001,140,192
88,7,0.024171762393077723,161,082,122,155,038,061,130
89,7,0.0887183841036312,168,072,150,060,159,163,121
90,7,0.10453497328910288,096,105,029,118,004,044,116
91,7,0.1278199756160482,067,053,004,073,099,195,114
92,7,0.047185858878371345,070,008,113,054,193,121,007
93,7,0.1486911278963866,150,088,052,156,174,091,122
94,7,0.14945399262465764,074,003,187,151,059,168,077
95,7,0.1935324935939461,001,046,166,105,121,157,182
96,7,0.12722137678491852,158,091,007,166,132,188,108
97,7,0.032090057624048596,015,189,040,161,137,107,084
98,7,0.0456580987262587,191,085,177,109,075,189,057
99,7,0.11701387153268694,049,070,075,091,198,099,102
100,7,0.20318796897920666,138,175,008,157,184,053,177
101,7,0.06644672230344684,130,146,031,038,027,032,129
102,7,0.03447775192057445,004,137,096,198,076,021,129
103,7,0.07267911157032114,189,114,140,012,036,049,034
104,7,0.16068593072868453,108,071,164,098,190,146,073
105,7,0.065659017739643,102,061,103,153,119,083,158
106,7,0.09224495717262648,016,089,026,008,132,119,143
107,7,0.05996282506115469,038,085,037,199,143,044,136
108,7,0.08977793829989256,039,076,155,058,166,064,134
109,7,0.038685270583247444,159,007,013,051,123,001,122
110,7,0.057531043881512756,168,006,106,047,032,066,163
111,7,0.02656580968416211,174,105,117,070,035,068,094
112,7,0.04579641959777658,172,184,123,062,075,094,133
113,7,0.10219265966288904,195,119,188,003,150,161,121
114,7,0.08949931062936567,194,118,169,185,175,109,012
115,7,0.03940711300647215,166,156,049,067,044,078,198
116,7,0.24496629345392396,187,024,168,016,183,037,157
117,7,0.09275613035637109,137,021,119,123,042,089,151
118,7,0.19825927612512617,172,178,187,055,134,127,195
119,7,0.05707576555076854,163,049,013,026,103,151,068
120,7,0.028677489879328055,129,001,015,124,168,130,104
121,7,0.16265582710255588,198,187,119,167,140,037,101
122,7,0.08801156666427101,072,074,079,121,097,115,057
123,7,0.039942052124276706,045,084,153,113,178,124,163
124,7,0.06808856086499848,199,040,088,140,116,035,115
125,7,0.14075690166125043,182,082,192,088,045,091,013
126,7,0.06967259140745785,062,004,078,132,007,174,167
127,7,0.04917596933604673,195,178,174,115,151,124,025
128,7,0.04516325909132757,045,114,096,031,062,168,158
129,7,0.07125178058621706,146,080,130,027,190,183,167
130,7,0.12050004190248575,014,164,077,034,084,131,116
131,7,0.05443104974144741,155,021,034,178,174,147,160
132,7,0.14488563788173447,118,055,044,124,011,116,127
133,7,0.06046882922988872,125,144,129,116,107,062,032
134,7,0.050793942238063994,196,167,132,113,056,119,042
135,7,0.0810768915114255,193,121,019,025,000,182,052
136,7,0.08321313302934641,065,079,117,060,027,045,098
137,7,0.1895707251024208,049,083,146,157,033,006,178
138,7,0.0868215757090508,129,049,055,013,085,141,142
139,7,0.126302003016303,171,058,193,076,017,114,190
140,7,0.040225285096652796,077,060,094,057,103,027,107
141,7,0.08735245029495575,116,085,115,108,099,121,158
142,7,0.0787259071798051,051,089,047,019,038,158,087
143,7,0.03931902799746978,182,043,035,016,054,172,129
144,7,0.07367093880805686,193,033,021,094,151,188,062
145,7,0.18748833916253604,195,157,032,199,085,070,029
146,7,0.0796294218888205,170,163,161,012,175,123,041
147,7,0.06478716447021815,050,007,121,076,146,071,078
148,7,0.0956920891031996,074,134,191,161,039,050,088
149,7,0.07494191005381967,184,061,015,176,070,156,053
150,7,0.10700850531089523,073,051,014,081,072,127,016
151,7,0.05044198337882344,165,185,151,067,092,130,176
152,7,0.06147014781659743,191,102,070,122,138,148,017
153,7,0.10772753999656104,124,052,026,065,045,169,063
154,7,0.2340285748899681,116,119,132,048,124,157,140
155,7,0.13216343898433103,171,003,001,167,039,191,155
156,7,0.1839684120033357,098,001,096,133,029,157,132
157,7,0.16027764592434524,022,047,099,062,091,018,198
158,7,0.11597622762715376,134,150,018,057,015,019,152
159,7,0.10398179663683171,102,070,194,074,156,174,101
160,7,0.023553951682854235,097,076,033,165,106,014,006
161,7,0.041520492222214433,123,084,094,061,107,183,057
162,7,0.07848652783583487,035,125,152,001,062,067,003
163,7,0.09903083803778878,063,132,164,097,143,084,163
164,7,0.12574640419769956,017,029,171,054,064,079,039
165,7,0.08026344242184591,194,124,089,057,051,175,149
166,7,0.1841854819249571,017,052,060,134,174,192,004
167,7,0.1454838250239412,037,150,127,191,106,171,198
168,7,0.04922598525918531,027,133,132,142,166,011,115
169,7,0.16231160199017158,134,013,070,127,144,189,182
170,7,0.08186679530201313,185,069,123,087,119,017,078
171,7,0.09658660958251519,014,035,022,190,117,087,001
172,7,0.04629832694531344,192,026,172,123,106,168,018
173,7,0.1293335934077725,151,122,001,051,091,076,148
174,7,0.058626345174409344,034,050,049,035,130,191,160
175,7,0.11627647034292554,119,040,027,058,067,177,101
176,7,0.12357418567398548,143,081,092,091,106,188,094
177,7,0.1236781284408992,153,044,045,174,083,101,007
178,7,0.03428830706153896,066,031,016,113,044,033,188
179,7,0.12149103087005542,046,187,190,073,106,185,054
180,7,0.04350075171025203,077,140,069,027,063,048,084
181,7,0.1304579002266859,185,069,187,171,130,036,021
182,7,0.14808411455974024,044,071,075,171,178,048,023
183,7,0.11544014920541013,178,094,027,040,133,022,017
184,7,0.021637797246521262,152,005,013,050,168,193,064
185,7,0.13164668660365253,178,072,091,163,104,188,039
186,7,0.14668288338282454,042,164,125,172,003,082,114
187,7,0.06763358711255119,156,196,007,140,055,123,026
188,7,0.08926771817712131,025,019,000,059,105,003,161
189,7,0.07055724760407811,147,057,159,136,118,176,106
190,7,0.15148825800707455,106,141,188,109,055,165,022
191,7,0.08529412861690111,025,055,132,061,071,158,040
192,7,0.09331145390733109,051,040,016,049,054,053,155
193,7,0.038101188460772595,161,049,158,062,115,170,177
194,7,0.03306514938602789,038,076,102,045,190,117,106
195,7,0.23562949439060765,031,182,017,046,016,157,004
196,7,0.2171810699136999,129,157,067,037,110,021,048
197,7,0.0832254567916777,170,054,146,123,047,172,182
198,7,0.11220432291415061,019,141,059,178,091,107,165
199,7,0.08401136054647196,019,069,038,015,118,029,052
200,7,0.11834925340522462,069,178,015,087,116,146,108
201,7,0.07273955391288267,076,143,195,046,141,151,075
202,7,0.08081728932087018,047,070,148,167,076,195,146
203,7,0.08104790540987361,023,018,190,142,075,177,080
204,7,0.11462242404416634,084,133,047,199,196,171,147
205,7,0.059602163858514245,083,142,064,074,119,077,041
206,7,0.08050187126807096,063,107,055,119,106,190,061
207,7,0.09178737974173035,073,146,024,153,194,163,105
208,7,0.03910798593400011,113,042,001,107,080,021,136
209,7,0.04526575507833541,137,191,069,109,143,199,092
210,7,0.10201096865529102,003,199,174,110,056,067,191
211,7,0.04045618498540904,007,198,152,133,075,029,082
212,7,0.06255749263098931,114,166,195,198,181,048,133
213,7,0.10880477962157897,108,115,041,082,125,023,050
214,7,0.1362278850781372,088,089,171,178,035,141,073
215,7,0.06152727876649744,196,175,183,085,047,018,015
216,7,0.08269779182235937,122,132,017,063,140,105,114
217,7,0.12785402461732132,141,184,195,131,192,114,091
218,7,0.11082024074517849,076,078,053,015,152,164,176
219,7,0.1152089123896306,194,114,131,168,171,046,188
220,7,0.14532804316022774,194,091,144,098,089,123,000
221,7,0.08206846353646946,177,189,123,124,109,155,175
222,7,0.10496619016242503,107,075,035,134,049,170,016
