,topic_01,topic_02,topic_03,evidence_r2
394,195,024,120,0.037679879934988
395,087,131,114,0.023851080805253444
396,059,149,148,0.019935133268429772
397,117,130,074,0.015189463201878084
398,109,012,164,0.014894028890568012
399,131,058,025,0.024932532684635245
400,129,159,050,0.0006089181985233783
401,113,090,196,0.009030315842462167
402,083,167,099,0.028363750379385655
403,175,173,155,0.010124553999944053
404,160,118,121,0.038331735083289464
405,158,116,115,0.032916214495768537
406,170,052,090,0.01997978625999408
407,113,026,105,0.005917139810849514
408,036,072,064,0.059140360667509606
409,001,022,078,0.026136526449096142
410,071,151,171,0.020584029191082265
411,063,087,146,0.02626559616683044
412,055,018,163,0.030298567930661657
413,016,116,059,0.020733156768446448
414,173,115,031,0.011706588333912471
415,070,166,157,0.019111675189943722
416,113,170,168,0.021743341679272388
417,056,034,155,0.03823000733417392
418,136,007,069,0.01375902440332022
419,169,101,108,0.03358064349759371
420,032,006,189,0.013502615775712434
421,199,123,072,0.06752500731700195
422,085,070,022,0.008306346812304022
423,153,182,121,0.030376232990216745
424,039,140,074,0.008292411240074404
425,096,062,090,0.015781950481687734
426,043,000,085,0.027562864330036407
427,144,184,045,0.03210950606650986
428,148,066,069,0.00967591725426109
429,061,147,019,0.019601631180170886
430,161,189,076,0.017752929486582913
431,184,160,104,0.001452696980992818
432,056,024,021,0.03783547617463401
433,062,054,013,0.03803703087562982
434,035,017,065,0.03541494815017332
435,076,084,177,0.008031600435875585
436,149,133,189,0.018550359747553924
437,026,120,114,0.014825592066437077
438,158,036,049,0.017222863999137528
439,198,168,123,0.016831981975374055
440,098,199,099,0.015958949068772044
441,120,152,146,0.02520002551178402
442,163,198,062,0.028299759958560045
443,123,087,147,0.023586747908872274
444,046,012,105,0.00933513128427832
445,187,074,155,0.007493843710950743
446,120,172,140,0.026813440239974895
447,108,141,194,0.01315201247347697
448,077,044,043,0.023238351865610962
449,184,015,116,0.020115387262221618
450,023,104,094,0.04446538043262427
451,070,023,169,0.03859826036777125
452,163,116,142,0.030831640560197826
453,147,013,191,0.03830618069879588
454,008,152,109,0.011142819524593617
455,062,019,118,0.03406284736920062
456,119,065,182,0.035220977534750064
457,037,039,199,0.010179999188582367
458,053,094,024,0.04540019251183858
459,134,149,058,0.03555460862987059
460,195,051,143,0.01203573599686314
461,130,161,131,0.015259857724681192
462,173,021,133,0.022428934876603135
463,070,109,171,0.009809171202203149
464,168,187,022,0.012336417455559134
465,029,089,169,0.0271463315613506
466,191,022,173,0.008604860008996296
467,029,173,031,0.01853114457539007
468,102,152,160,0.006873229449266827
469,090,057,158,0.01681489347684806
470,075,190,065,0.033508040680122364
471,011,109,082,0.01427749860502947
472,013,047,063,0.03848424024798025
473,165,098,075,0.018575491197772576
474,065,066,137,0.0352722970655881
475,007,121,036,0.030137376086773582
476,088,152,037,0.017751125748755925
477,055,147,043,0.027769490836214827
478,021,085,157,0.03947111858106267
479,157,025,073,0.021208341099165362
480,144,018,024,0.028702259850284517
481,046,193,138,0.022946769476339557
482,157,194,054,0.02335088203823188
483,078,084,057,0.014226845505665109
484,005,175,152,0.011492053849345929
485,167,144,149,0.0311477126238231
486,184,110,099,0.015448881969666428
487,004,017,178,0.03505346957588251
488,164,081,008,0.004767550159198053
489,061,198,177,0.018546888275970286
490,107,187,021,0.02466647968498359
491,038,143,073,0.025126875194794507
492,083,082,104,0.003063380142878658
493,021,027,132,0.01932826415704958
494,118,053,033,0.04047349986984439
495,042,178,122,0.016124540279063182
496,124,146,058,0.02530141953347753
497,151,130,039,0.02236376738600443
498,120,033,037,0.028052157908096453
499,080,187,161,0.03191145453812505
500,033,021,063,0.023395965419157227
501,137,055,146,0.021596506447432495
502,114,136,022,0.012635671035002738
503,144,157,160,0.019595464074317004
504,130,013,115,0.038984258843893116
505,120,125,017,0.02038191128530764
506,166,125,175,0.001701333791016446
507,198,199,071,0.012911000190780841
508,132,068,118,0.012819177547546579
509,011,099,132,0.00983201316057769
510,004,008,094,0.03345398600569671
511,187,190,076,0.007131576012021634
512,147,080,066,0.020039190428856157
513,105,062,052,0.015514551209485195
514,117,185,177,0.018015372244537864
515,032,003,172,0.03326570163788878
516,042,123,133,0.01271701028309502
517,043,142,168,0.022405359214890286
518,148,165,043,0.030161615242508932
519,032,117,192,0.013309574350871212
520,177,001,003,0.03789038594637684
521,132,041,063,0.0014125923575317723
522,199,096,052,0.009846305464914162
523,077,033,116,0.022272314448928965
524,018,013,071,0.03240962683716542
525,148,191,190,0.0046387527127551564
526,158,133,147,0.016860248825328994
527,038,059,132,0.02109344391460355
528,014,011,090,0.005161412204495841
529,127,199,023,0.044376235414748555
530,075,123,072,0.06981988374646986
531,025,044,029,0.021793304758717102
532,106,118,171,0.011612648635955347
533,071,054,110,0.014828098340808782
534,067,122,068,0.001950712056193682
535,032,065,084,0.030565349149093923
536,105,155,156,0.013076008019462515
537,085,115,191,0.012639075438383829
538,029,164,187,0.02354443621342972
539,191,125,183,0.00593484446045367
540,173,017,141,0.02166549060787848
541,015,149,108,0.01711788832085781
542,032,122,168,0.008700223117227401
543,187,050,189,0.011284881088451604
544,054,023,079,0.04108676655194721
545,074,199,182,0.014543207445830042
546,007,114,136,0.01613160254961321
547,019,089,017,0.027621289667119298
548,196,067,198,0.013505199761202347
549,063,129,124,0.0016333466685753972
550,047,125,133,0.01621697300445235
551,195,185,039,0.016045340436414257
552,064,185,022,0.008919854983918118
553,171,038,062,0.027072632178814837
554,087,062,184,0.02880359374930297
555,083,120,196,0.023420374514608877
556,074,156,016,0.00631313531154265
557,113,134,160,0.005528568824413105
558,099,047,050,0.022036758137170986
559,018,153,014,0.008950806690011692
560,174,035,012,0.01570592863044651
561,167,037,143,0.027008853677324418
562,195,031,121,0.0315867548427442
563,092,087,033,0.026960854711153837
564,036,044,102,0.014112889212858137
565,078,049,194,0.014401624228672527
566,050,065,178,0.035026498624247004
567,149,133,013,0.03594824583381395
568,141,115,073,0.024700772305700336
569,070,026,185,0.00746146156164007
570,069,142,097,0.016783656535909075
571,158,116,068,0.027455027803784837
572,017,080,164,0.020499364547716947
573,031,098,108,0.0059548929163510955
574,088,057,097,0.033201677456101364
575,013,091,023,0.0753702172659434
576,099,056,047,0.031475466529299445
577,163,146,160,0.02653981594240762
578,057,077,109,0.01031739432893164
579,117,031,045,0.04006278615798331
580,146,098,025,0.014529217614294043
581,056,099,173,0.024688145378946702
582,039,114,183,0.01028288699435631
583,058,013,188,0.04232370301879895
584,181,142,072,0.06068151841714775
585,016,035,043,0.025817539106011256
586,078,151,166,0.02823956517123738
587,129,088,167,0.03709877599762523
588,185,124,041,0.006050278386133701
589,168,006,061,0.018092930778046634
590,049,076,122,0.004435013287584777
591,171,084,106,0.0006491876724245005
592,043,064,061,0.02663705409567696
593,130,063,129,0.0008632355392129698
594,006,199,190,0.016992860170773616
595,130,049,034,0.01802094588614267
596,144,109,155,0.01721947823848513
597,055,069,062,0.022621459240418473
598,059,048,167,0.04604606088397989
599,155,103,134,0.011112409951145708
600,025,159,024,0.02593242312637578
601,132,015,094,0.014819802952414363
602,089,042,140,0.01972912557887485
603,003,127,166,0.027679088115959316
604,191,183,108,0.005992115611586413
605,032,176,079,0.015509302048019036
606,062,136,153,0.01825144520597044
607,163,174,015,0.025058803252562156
608,003,008,005,0.032680642263213544
609,069,091,166,0.026036065799679764
610,164,006,143,0.015405663269639103
611,044,152,109,0.019180933087538987
612,122,058,022,0.027734193298260768
613,060,073,059,0.011406329721414643
614,108,031,023,0.03811234908773198
615,066,015,077,0.00808051313909064
616,079,076,187,0.006026689118703299
617,060,144,039,0.006868828272350691
618,183,016,130,0.0006717859456707442
619,134,106,084,0.005431756958464096
620,070,174,062,0.018651823315048888
621,040,026,006,0.015416856862083828
622,198,196,129,0.012980794910113835
623,012,075,067,0.011200568292960678
624,022,087,039,0.02303876247700154
625,082,016,106,0.0027919051319096333
626,156,034,121,0.03801641517416887
627,109,147,131,0.009752043562468393
628,092,182,097,0.019767059464216974
629,053,161,021,0.04445864422251722
630,166,113,091,0.025001442635941062
631,104,012,007,0.011037763941913803
632,034,077,173,0.01742136810818251
633,142,038,155,0.02072909893592989
634,041,066,136,0.012652479619817747
635,153,103,060,0.010007371694417788
636,169,190,173,0.008290155077650296
637,122,077,057,0.001968502550847795
638,182,196,101,0.03963162802561693
639,031,140,160,0.00509958618515971
640,156,144,176,0.018383955044771305
641,191,147,046,0.003933535058334825
642,196,125,151,0.022975118422393526
643,038,047,025,0.027056732489884605
644,054,131,167,0.026716694586687906
645,063,176,052,0.014280457184605355
646,176,069,189,0.01812192821653269
647,130,170,149,0.03131841937193769
648,183,072,043,0.07032072583343119
649,022,084,156,0.007406049106012391
650,033,192,114,0.01733360406591522
651,161,040,129,0.018173188232684212
652,044,057,021,0.02358388401159739
653,130,117,059,0.015972180086608723
654,118,042,027,0.017403959547447445
655,161,199,144,0.018833570872950123
656,133,137,072,0.06793354143163155
657,000,077,069,0.005338322360170178
658,120,063,015,0.015668240135728095
659,167,012,025,0.027251673988229586
660,080,175,027,0.01454619111944866
661,098,144,077,0.008210815163346319
662,085,081,031,0.007217754281156119
663,067,115,110,0.009903963766281998
664,134,066,031,0.01789063981492789
665,184,110,118,0.01769426801047702
666,079,159,106,0.0004179017806809071
667,193,129,061,0.029701466317531233
668,090,057,132,0.004080371395818627
669,156,140,178,0.016007728357942064
670,050,147,097,0.012235830708446471
671,011,088,022,0.023658406241120145
672,001,039,038,0.029409345760143757
673,064,137,061,0.011081844578535005
674,147,023,184,0.037357654184261624
675,185,060,068,0.006509808445001042
676,022,115,161,0.0224771488111849
677,147,019,048,0.03861934124580646
678,174,037,098,0.009526738341823937
679,185,043,080,0.032219481160928654
680,136,195,007,0.01806870418867368
681,177,057,024,0.02867674400720155
682,115,027,195,0.019112086326540267
683,105,134,181,0.012404516148093792
684,018,003,073,0.034069766946551616
685,113,089,023,0.03836530611244893
686,142,121,163,0.038769282076485
687,044,169,051,0.015484127977562046
688,166,074,057,0.0029110055173156013
689,173,069,134,0.009775307477068229
690,193,039,147,0.02663930967184258
691,143,114,136,0.014060699438658286
692,056,082,164,0.02447348936941085
693,075,053,041,0.027766497537472512
694,072,082,005,0.06211371651036013
695,160,069,120,0.013885872204835392
696,166,120,013,0.047539575652673416
697,050,026,049,0.0049018065912104225
698,004,142,044,0.02900057578677917
699,114,032,055,0.014460612389438077
700,012,146,064,0.0170194514062757
701,103,125,082,0.00795813743314
702,183,041,166,0.0013714283004776506
703,185,017,156,0.014292234734959663
704,199,081,123,0.01148949824396761
705,082,157,085,0.023640940996061732
706,029,005,089,0.031019303269835263
707,107,141,131,0.012388652646253218
708,105,080,041,0.017680873026494237
709,136,115,143,0.01684734045144609
710,049,054,067,0.009315977694993482
711,081,185,012,0.009809827618078804
712,026,058,051,0.02574970571901014
713,102,115,039,0.012550147216304985
714,011,157,060,0.020005596795852676
715,140,123,163,0.030054356171385965
716,115,050,107,0.005925407966517304
717,184,079,045,0.03149684208112913
718,144,019,046,0.01893598170678823
719,058,052,079,0.026876878306117402
720,044,151,011,0.027639339353136227
721,061,187,114,0.017048983559185493
722,071,006,018,0.014255605996768894
723,075,067,037,0.006606776079570054
724,060,184,003,0.02939304232441009
725,101,125,129,0.032030013597128426
726,043,069,072,0.06803665907145717
727,081,165,059,0.010668782961486878
728,021,151,168,0.029760346755912992
729,065,198,187,0.040014011818573
730,040,038,114,0.026729337781604134
731,033,129,013,0.03258896304072745
732,050,080,108,0.014582152333966203
733,040,124,132,0.008659799374244881
734,098,159,115,0.01145271707518769
735,038,007,101,0.03979603172137691
736,091,088,114,0.03780744795977953
737,022,187,192,0.009102911805505265
738,190,032,060,0.0023223048369768184
739,150,047,024,0.03873409884291812
740,006,194,087,0.02723244580120754
741,138,008,123,0.005545197876932861
742,088,065,044,0.04594428893719871
743,090,173,033,0.013957088037179655
744,116,007,137,0.02480924789783978
745,033,092,109,0.021709164645892787
746,105,103,054,0.018967200459468536
747,035,143,066,0.013971098435895501
748,011,036,084,0.002527662349362525
749,078,160,006,0.019148054697364802
750,017,039,055,0.017192068869262056
751,166,050,101,0.03143796374318242
752,133,127,067,0.014747944450709594
753,049,113,142,0.005596710384904391
754,036,012,192,0.007446103149464145
755,091,016,059,0.02498613355570356
756,013,049,143,0.0316573771672799
757,085,160,039,0.008214521996057322
758,056,193,133,0.04458288010393796
759,137,051,151,0.02318292194602345
760,000,076,150,0.02083907091525794
761,134,054,000,0.016148474563002058
762,082,042,129,0.010257904747286162
763,103,076,155,0.009508957529871243
764,080,156,072,0.06747281066493549
765,017,048,131,0.028684152413994912
766,018,056,075,0.025897671842054715
767,122,143,040,0.009807346346566437
768,173,026,122,0.004215961128325674
769,012,048,068,0.03026126889254921
770,143,077,163,0.024292752101550574
771,161,082,017,0.021241255442851714
772,061,018,097,0.0170872965534129
773,006,155,129,0.011574009432049337
774,153,160,084,0.004520588430938388
775,181,051,034,0.016252525322064337
776,113,109,114,0.015854707422452763
777,054,005,118,0.025902428217382645
778,023,115,074,0.0390839881762719
779,065,110,076,0.03154284133310603
780,071,165,026,0.00952232482793125
781,146,091,040,0.03491802307556702
782,183,157,094,0.0303527761807868
783,157,172,174,0.02978697418424836
784,001,043,037,0.03088590856075546
785,165,013,120,0.05453690484158291
786,114,019,183,0.021546132859804
787,127,107,193,0.03501061327566668
788,077,102,146,0.016420006900181305
789,196,062,193,0.04458821680428693
790,026,191,101,0.033380526089008655
791,013,125,026,0.032700615504966835
792,047,060,131,0.016397889420150302
793,142,130,066,0.0068831276039751366
794,076,055,068,0.008609807952368875
795,046,149,153,0.018619621254673424
796,098,066,191,0.017722049191929212
797,170,066,137,0.02621307341228052
798,037,141,123,0.01655280073090848
799,129,007,044,0.01773939055043161
800,023,099,047,0.04780442640134952
801,185,195,105,0.014855642204151587
802,110,174,004,0.02869053333134064
803,176,099,178,0.024623822212947677
804,022,003,104,0.026620441560207375
805,021,024,071,0.031965109811038395
806,116,106,049,0.018512867763071927
807,167,036,119,0.029420873630840116
808,045,123,082,0.035358685930087064
809,187,144,037,0.011054651995811904
810,189,091,106,0.024179347812032237
811,037,070,117,0.011978182385241398
812,071,015,077,0.00400960444516163
813,019,097,037,0.025671848866973046
814,025,199,026,0.008980193973763706
815,021,071,088,0.03250039999059473
