,num_topics,scenario_r2,2,3,4,5,6,7,8
0,7,0.012808188318280567,069,014,043,165,077,058,006
1,7,0.039156770989519085,096,004,107,194,153,039,172
2,7,0.00854593250389113,006,074,116,120,097,087,089
3,7,0.027475365133133867,151,087,122,013,039,134,187
4,7,0.046160184602267784,114,096,031,054,118,033,190
5,7,0.020523581613527964,070,170,018,182,042,152,150
6,7,0.04949910113282929,079,091,120,123,165,032,042
7,7,0.010992358002791192,142,159,118,067,023,071,188
8,7,0.03003070705464239,039,089,138,137,077,153,168
9,7,0.03288700245613552,008,062,189,032,061,143,119
10,7,0.03484628025316727,192,036,156,108,081,064,181
11,7,0.026667981916838945,195,088,000,103,006,035,194
12,7,0.0318028695374889,193,077,163,181,106,121,195
13,7,0.024216675439791113,132,034,089,065,053,148,195
14,7,0.009390429479795626,164,189,042,193,134,131,108
15,7,0.03208102389803669,012,084,107,075,183,035,001
16,7,0.05374385868334297,115,110,183,177,173,001,109
17,7,0.0334430030934284,113,182,063,196,131,077,000
18,7,0.054884287303299084,014,060,026,032,078,044,143
19,7,0.021833725527489856,102,099,159,108,119,101,096
20,7,0.04066532093472652,194,035,066,174,051,172,158
21,7,0.015986563192255443,056,183,071,045,107,170,191
22,7,0.04706932312908996,176,104,177,113,063,018,142
23,7,0.027475362674482362,196,133,088,138,032,053,152
24,7,0.04091677283545225,069,039,004,027,198,016,091
25,7,0.011036234291623592,146,134,188,173,096,021,151
26,7,0.016560799106424717,187,065,060,178,165,133,049
27,7,0.032659560840654134,069,015,088,091,165,073,090
28,7,0.0347013571464746,048,141,029,067,143,121,038
29,7,0.03837524215748289,137,025,163,143,178,166,165
30,7,0.04145853133567867,177,035,152,026,076,043,070
31,7,0.08047161514693957,177,147,165,123,017,069,130
32,7,0.05395055750129496,155,150,044,031,081,129,083
33,7,0.017364889078360313,171,061,065,195,091,074,158
34,7,0.03224460971570364,153,071,140,163,070,137,080
35,7,0.02941644487933992,176,147,120,152,110,194,071
36,7,0.03313347772049735,146,076,098,168,087,163,043
37,7,0.022604744926620568,006,148,156,049,053,091,089
38,7,0.028326918549815283,080,090,106,049,161,012,103
39,7,0.029796981287551816,033,177,172,015,167,121,094
