,num_topics,scenario_r2,2,3,4
0,3,0.035942841342751386,143,190,129
1,3,0.00879197719147462,078,031,015
2,3,0.004677179320593083,068,109,035
3,3,0.028676472588875068,023,177,152
4,3,0.03675546998060153,005,068,117
5,3,0.008100295467780017,047,122,168
6,3,0.004154358450012552,198,183,096
7,3,0.028707547654826304,019,054,131
8,3,0.02746940307832968,063,098,047
9,3,0.03711537301356249,198,127,048
10,3,0.036342801755936294,107,136,147
11,3,0.05253090368856961,155,097,058
12,3,0.005908987139250588,134,141,168
13,3,0.003889223648987139,006,132,091
14,3,0.05770813273467357,155,110,113
15,3,0.04928207101435522,108,040,155
16,3,0.002613032697643125,071,134,183
17,3,0.010327342432931652,015,166,187
18,3,0.012586856426276327,110,067,056
19,3,0.014760954563311057,055,090,096
20,3,0.03558390042957538,143,054,124
21,3,0.012459971941813919,065,015,019
22,3,0.010133468399449064,168,024,158
23,3,0.008242017841574967,121,183,163
24,3,0.0060918565599205055,064,110,125
25,3,0.014743136707699889,121,037,113
26,3,0.003322216320527982,110,165,134
27,3,0.014496033599460612,000,190,163
28,3,0.02597259301281518,124,088,133
29,3,0.010619043767315595,170,104,041
30,3,0.00515070521823302,021,103,067
31,3,0.025189367350648695,147,129,069
32,3,0.012064319147031766,014,176,016
33,3,0.0269201514423848,065,163,004
34,3,0.001683592591626204,150,045,199
35,3,0.004020619668605785,090,124,138
36,3,0.007697859147316577,081,060,141
37,3,0.005993403234870409,122,047,019
38,3,0.027352018014212498,008,185,001
39,3,0.009968593237618562,000,034,027
40,3,0.005559117368463706,084,158,040
41,3,0.016045266472497266,075,173,035
42,3,0.046490821695433615,069,123,037
43,3,0.041582852193252084,001,184,101
44,3,0.009053886519261423,007,194,192
45,3,0.010332674579073498,040,041,056
46,3,0.02144043780974403,094,170,018
47,3,0.017993999440414243,050,117,103
48,3,0.0035503126225556736,183,159,019
49,3,0.046449547001808145,181,163,127
50,3,0.0043605704663238765,166,006,163
51,3,0.015464369127455413,033,016,185
52,3,0.02710482803575298,190,132,004
53,3,0.011654820731395454,081,173,007
54,3,0.024979639820312705,060,172,088
55,3,0.003337679706025276,090,068,129
56,3,0.003596694694878444,047,185,199
57,3,0.009731016712040463,090,039,038
58,3,0.023387455057437445,047,183,088
59,3,0.004321126020940147,184,103,176
60,3,0.016491283458683115,076,167,057
61,3,0.021918221769741675,044,035,046
62,3,0.02924159651778413,042,057,080
63,3,0.011471164375521647,039,071,140
64,3,0.0030443936697310825,074,040,019
65,3,0.05133146753608564,168,121,123
66,3,0.007340600054180468,110,167,119
67,3,0.029308626531002746,148,164,005
68,3,0.009005060588140434,015,022,041
69,3,0.010204130378475784,160,169,071
70,3,0.030608439878969995,001,061,057
71,3,0.01989290749043182,122,003,092
72,3,0.00430570357639648,085,199,164
73,3,0.028804049749799,141,184,005
74,3,0.0022688931309590155,183,178,150
75,3,0.001257537556199284,114,140,129
76,3,0.020379851244442082,026,087,065
77,3,0.017681437609324946,189,043,191
78,3,0.0020958427827403314,140,182,129
79,3,0.009162566356057944,131,183,075
80,3,0.01682940648463216,069,004,165
81,3,0.02573155793941606,043,152,177
82,3,0.010072154971948688,081,150,016
83,3,0.0018849092176976834,157,058,035
84,3,0.01600049485330335,031,050,104
85,3,0.015450435735929857,059,012,064
86,3,0.0034496339903078432,065,032,107
87,3,0.032257477318998085,155,141,166
88,3,0.022732440585363944,101,087,158
89,3,0.02959140291439255,043,039,143
90,3,0.00689995041157998,192,069,076
91,3,0.002507534506307918,014,068,072
92,3,0.009852324303937787,116,031,195
93,3,0.0024043695116500174,027,078,125
94,3,0.02146107851843293,081,029,171
95,3,0.005469626534430394,051,000,158
96,3,0.027625288094107803,169,118,050
97,3,0.010006905080253259,195,012,175
98,3,0.010870399930465457,057,024,196
99,3,0.005947973800705109,085,160,178
100,3,0.017372462998753058,060,087,148
101,3,0.04663520871547677,083,155,137
102,3,0.010842151948045942,140,137,164
103,3,0.003510644176251132,064,166,006
104,3,0.035473350182134045,136,004,062
105,3,0.006345723216317767,041,091,076
106,3,0.0015284087140042812,199,021,027
107,3,0.001026818959104392,120,114,031
108,3,0.007707793348093905,117,168,167
109,3,0.006688680983605755,053,131,060
110,3,0.030182097109479833,098,140,005
111,3,0.012444492659200668,108,064,170
112,3,0.006599362579247758,049,087,176
113,3,0.018986470673005185,035,050,184
114,3,0.009736409860460093,057,114,105
115,3,0.0036305742360083215,018,042,117
116,3,0.025454780113315034,080,033,124
117,3,0.04107343096873495,004,037,054
118,3,0.046603378654769156,013,127,160
119,3,0.03130879867688485,156,031,088
120,3,0.004749182064720192,045,140,078
121,3,0.016106011258983477,177,017,031
122,3,0.010884550397419646,189,161,065
123,3,0.0032309577215642316,183,058,176
124,3,0.01455203854943976,021,163,057
125,3,0.010166240265796045,129,033,041
126,3,0.030207417553266946,005,102,018
127,3,0.015931918673153467,119,110,195
128,3,0.004672901795424789,022,042,163
129,3,0.00394105214500684,074,121,036
130,3,0.03228991752055599,094,029,015
131,3,0.004058649191626795,140,115,152
132,3,0.00400084792126032,117,163,198
133,3,0.01910276532322086,050,069,067
134,3,0.031391154213480155,096,005,163
135,3,0.00893406566318311,089,018,059
136,3,0.025285443484189374,163,034,023
137,3,0.024102421368619398,047,007,080
138,3,0.004693342379880172,014,068,019
139,3,0.03016125315113849,077,005,084
140,3,0.021178575552128542,159,146,088
141,3,0.007879205443081738,013,115,038
142,3,0.035103786016393634,040,063,055
143,3,0.00575176402587696,106,038,008
144,3,0.027516729396858564,046,138,106
145,3,0.011353146281342763,170,153,134
146,3,0.023193351678639007,004,106,194
147,3,0.008080686911432489,096,089,082
148,3,0.011790556442593303,146,189,183
149,3,0.004078066583695361,187,132,134
150,3,0.0012785306338864988,165,141,073
151,3,0.00357541415127427,129,099,184
152,3,0.033604725975821426,065,046,045
153,3,0.013509743157150589,012,115,137
154,3,0.02081590785594245,133,149,103
155,3,0.012444500932917713,012,056,018
156,3,0.04117808210227358,171,050,155
157,3,0.0010927395927790018,042,051,129
158,3,0.026078571463754252,088,150,076
159,3,0.009904336913949763,067,173,022
160,3,0.0010119300001403264,171,120,116
161,3,0.028239876623121107,060,059,149
162,3,0.006787182124115887,158,116,040
163,3,0.008722190156762788,150,052,158
164,3,0.015101970294649547,070,025,004
165,3,0.012654920427899508,021,016,104
166,3,0.016017009580022723,013,130,014
167,3,0.025229518779526505,001,175,146
168,3,0.009127709650669669,107,015,178
169,3,0.0250260607277919,181,110,046
170,3,0.024610522685300618,142,149,000
171,3,0.02758378346166157,088,193,076
172,3,0.00790480278622685,024,048,087
173,3,0.009368958757381418,189,024,072
174,3,0.0070246924758867735,171,078,152
175,3,0.05034413758765566,123,166,023
176,3,0.012159943568316622,074,183,092
177,3,0.054389628991937666,088,178,155
178,3,0.03432714833874251,101,190,199
179,3,0.01090695428866939,190,178,037
180,3,0.03251790158723444,007,088,015
181,3,0.015325885340080503,004,024,031
182,3,0.020067636946692224,173,044,148
183,3,0.01640579246168794,062,077,007
184,3,0.004920183502233444,124,167,035
185,3,0.01863144534059369,045,060,094
186,3,0.003667134868149957,018,182,115
187,3,0.003624295733845595,097,077,144
188,3,0.02890694514680281,178,063,130
189,3,0.013172898646322206,068,109,130
190,3,0.0003557789545614032,142,104,022
191,3,0.002541831640806902,193,199,185
192,3,0.010922841534803718,178,078,195
193,3,0.011885073427817305,025,069,094
194,3,0.005266500933078455,025,064,151
195,3,0.007799847288095907,178,119,129
196,3,0.015835549916901837,132,172,004
197,3,0.017164455876213847,043,075,104
198,3,0.008139114416900739,142,122,023
199,3,0.010345963093021826,094,151,175
200,3,0.0199468191845118,039,043,079
201,3,0.0028458131030471012,132,017,151
202,3,0.02772341560664182,077,165,174
203,3,0.023411371812182558,102,046,087
