num_topics,r2,aic,bic
2,0.035161529990224316,41803.79816935421,41828.47662113586
3,0.043577647828419365,41562.85171528628,41595.75631766179
4,0.052921911904766646,41292.71605641022,41333.84680937965
6,0.06490382365492589,40943.10424371894,41000.687297876124
7,0.06909708623497894,40819.98672586647,40885.79593061755
10,0.08144306549756956,40454.28168574486,40544.769342277585
16,0.09924643746478026,39919.7731981931,40059.61775828911
