,num_topics,scenario_r2,2,3,4,5,6,7
66,6,0.02252068458010481,196,168,106,120,133,132
67,6,0.023862304912136367,047,014,146,184,084,117
68,6,0.011915710020197201,069,133,192,089,160,185
69,6,0.052515090507348594,094,105,176,155,065,025
70,6,0.019846192127977225,152,140,092,096,098,161
71,6,0.012835125014341253,057,177,171,031,007,151
72,6,0.04112566510153248,140,138,041,012,060,155
73,6,0.039938650834876244,143,118,164,188,195,066
74,6,0.04682054671531577,189,091,133,141,025,054
75,6,0.03998297152309438,080,185,142,173,199,052
76,6,0.031137287124524793,027,168,159,199,101,074
77,6,0.01673811381284862,032,148,132,072,091,055
78,6,0.009595227252430005,124,016,178,183,041,035
79,6,0.017223362661926922,163,189,005,121,000,038
80,6,0.010408909720143189,066,004,175,147,131,035
81,6,0.03957413859144909,104,163,041,044,087,033
82,6,0.04626531164429948,051,173,188,132,011,192
83,6,0.0632139772354181,025,036,108,157,115,097
84,6,0.05207553840027446,121,157,152,190,183,173
85,6,0.015563479863229479,108,035,136,165,125,171
86,6,0.015062531108717359,040,114,077,151,099,188
87,6,0.030285078813154787,066,192,189,048,078,195
88,6,0.019487584795183754,166,071,124,090,092,107
89,6,0.041796254984197256,125,007,127,153,014,157
90,6,0.008618625704561622,087,106,138,035,012,031
91,6,0.015208816707976913,159,027,122,119,004,079
92,6,0.05832224144019482,029,114,003,181,155,035
93,6,0.0158867758139436,131,105,088,170,168,003
94,6,0.043471774484546755,024,033,171,000,115,050
95,6,0.02628003860447048,131,062,061,025,147,185
96,6,0.008012180935234148,174,069,081,041,071,092
97,6,0.009421314319279173,040,190,006,036,049,064
98,6,0.013032478288040106,098,184,188,018,013,016
99,6,0.02273193633053483,198,076,168,190,042,195
100,6,0.023415947145137173,051,122,136,198,130,165
101,6,0.021995126356523675,109,172,158,011,001,119
102,6,0.032927134629623156,175,033,031,114,151,069
103,6,0.034273260094279334,161,059,005,074,101,114
104,6,0.015226101507400669,194,163,085,094,069,125
105,6,0.035330659991477886,066,114,026,054,034,053
106,6,0.02512573579864752,048,027,176,171,015,025
107,6,0.012625144852945192,092,142,132,083,077,160
108,6,0.04485964845973944,034,118,198,157,004,138
109,6,0.017903825485202418,067,015,048,057,098,165
110,6,0.03345631767240431,148,136,193,024,150,017
111,6,0.016342359987732147,065,158,129,130,014,063
112,6,0.01045888797003025,109,194,077,176,116,167
113,6,0.027635387132868616,078,119,000,050,129,151
114,6,0.01931513960345488,053,016,116,152,120,080
115,6,0.0490375707205416,155,088,107,087,077,175
116,6,0.045749836916934905,003,068,155,075,168,031
117,6,0.02328330083752117,133,038,122,105,066,056
118,6,0.02323194589499855,199,187,177,151,181,072
119,6,0.014359576862127743,198,105,132,175,108,072
120,6,0.016702685537678175,061,042,129,096,090,007
121,6,0.048285295470345324,153,084,049,173,169,157
122,6,0.017642400284338944,158,065,142,011,119,082
123,6,0.037216942298280875,044,022,172,143,141,036
124,6,0.022106100675689522,107,164,069,113,171,040
125,6,0.029558404882137457,158,134,045,022,079,082
126,6,0.016616508824779053,039,176,153,142,104,119
127,6,0.019037585480623065,106,198,001,133,149,185
128,6,0.022665385634552004,176,087,079,026,149,129
129,6,0.008550733455615522,041,160,144,047,083,016
130,6,0.031028911123710312,160,087,146,198,066,043
131,6,0.04107103990345862,046,041,173,059,141,037
132,6,0.025793515351033025,116,043,073,098,048,006
133,6,0.02184267367640702,004,073,068,082,193,018
134,6,0.02343793186599441,079,003,175,165,109,181
135,6,0.009843147400804386,065,191,057,153,060,056
136,6,0.0530158200945563,136,192,042,054,061,173
137,6,0.007314542319500017,061,007,169,130,035,193
138,6,0.06339966119302964,037,091,029,155,038,054
139,6,0.026715299237654366,025,170,163,169,081,069
140,6,0.033576904255036455,163,019,130,152,115,058
141,6,0.06408066767194887,050,181,080,053,044,157
142,6,0.02476421132380091,019,165,103,060,033,194
143,6,0.0432818159201509,163,184,023,189,074,123
144,6,0.014309696300310537,039,062,170,084,049,169
145,6,0.030398594417738733,188,181,014,119,171,024
146,6,0.021544033718985944,008,159,011,005,134,046
147,6,0.007144606909696871,125,006,012,041,160,188
148,6,0.011495676140553135,048,069,065,142,102,175
149,6,0.03429085799705722,107,105,120,073,152,077
150,6,0.01082869560170796,027,085,043,184,049,124
151,6,0.007176550126989145,038,090,142,196,047,169
152,6,0.03130490662763652,050,006,113,078,080,123
153,6,0.014290475721635776,124,074,167,090,182,177
154,6,0.02647144432785875,098,081,033,089,130,021
155,6,0.010507214282148847,041,068,065,117,194,131
156,6,0.024048131498558112,013,129,054,067,140,185
157,6,0.0661539811093611,022,175,122,155,136,025
158,6,0.014903342362617256,076,182,191,189,027,026
159,6,0.055852563028882085,108,019,195,057,173,079
160,6,0.013618428295829155,043,094,147,114,097,113
161,6,0.019481046586095063,110,193,174,172,131,024
162,6,0.03612324318299587,001,019,148,184,196,123
163,6,0.021556825115154443,191,054,088,087,189,076
164,6,0.018173280208334086,153,140,004,045,181,105
165,6,0.013804938424338054,105,011,047,109,065,019
166,6,0.0476398190523879,166,157,125,045,158,185
167,6,0.02382445156791757,163,026,091,031,063,061
168,6,0.011562916762785536,183,166,072,032,004,106
169,6,0.024562838029159817,148,036,124,050,195,058
170,6,0.0259396911185813,187,160,101,142,076,014
171,6,0.01613240035459107,102,005,035,171,019,142
172,6,0.024388980469778776,082,061,077,073,116,178
173,6,0.03763863766484976,091,025,153,190,067,083
174,6,0.028526336417319387,022,134,192,099,150,014
175,6,0.02165313664818369,119,108,007,024,003,103
176,6,0.008432559418248164,169,041,184,083,061,084
177,6,0.028631587007051595,166,191,195,082,174,182
178,6,0.012384541384367398,048,177,058,001,004,094
179,6,0.022852637142543375,050,137,122,113,090,101
180,6,0.024391396498499307,091,074,038,193,144,089
181,6,0.020834075485629322,199,019,104,082,094,054
182,6,0.04423707488240025,087,013,157,184,178,120
183,6,0.01966136659093376,133,109,052,198,129,199
184,6,0.03536472466327678,120,124,041,101,142,075
185,6,0.06355237004235414,070,120,143,155,084,022
186,6,0.012533406417152615,165,176,198,132,169,144
187,6,0.022209271720262214,049,007,037,067,033,148
188,6,0.019405298379779667,184,098,004,049,023,141
189,6,0.02859260681771425,012,164,097,052,134,038
190,6,0.02173560737819824,079,027,121,174,066,189
191,6,0.04240908050570913,008,001,055,150,025,187
192,6,0.02205311986162195,042,074,127,091,138,160
193,6,0.01418660913435521,065,022,156,174,177,027
194,6,0.02050385803113819,170,004,089,181,082,077
195,6,0.018138954113009476,191,102,074,087,175,042
196,6,0.024956150844223868,102,024,101,007,014,038
197,6,0.020224457809372542,041,085,040,194,136,169
198,6,0.013315269068017943,023,065,089,043,133,117
199,6,0.015826413081886037,046,087,160,062,159,094
200,6,0.012012238413001364,048,174,080,027,105,107
201,6,0.012952437682090756,149,059,113,124,013,061
202,6,0.02045088261572514,170,188,130,168,092,134
203,6,0.02722071997560549,024,088,022,169,124,038
204,6,0.004238007471917715,090,007,000,057,018,140
205,6,0.009707009647025755,147,187,159,041,008,094
206,6,0.02835591000471549,170,034,191,156,124,143
207,6,0.019107062515599238,088,144,012,105,114,196
208,6,0.024795211173715193,044,041,151,021,089,117
209,6,0.019573021604943674,037,161,148,043,034,185
210,6,0.010211272903753899,182,122,171,104,059,018
211,6,0.021034625820204766,049,062,065,056,024,151
212,6,0.008913618225018793,167,108,143,190,161,016
213,6,0.05013376118191548,155,122,037,029,165,068
214,6,0.012223531899343443,011,144,099,070,043,169
215,6,0.0219917834119554,006,052,039,120,129,040
216,6,0.017630779785595352,032,172,102,096,008,059
217,6,0.02118149407009262,053,084,079,149,007,055
218,6,0.029352615660272252,119,121,141,189,099,079
219,6,0.05571270192410005,173,115,151,184,127,125
220,6,0.021414222073107503,081,118,152,150,018,088
221,6,0.012390193276755501,092,106,194,082,147,184
222,6,0.014692751724817321,039,152,174,005,118,181
223,6,0.029593237132736205,147,102,156,023,123,165
224,6,0.04481212352166486,144,073,155,169,006,019
225,6,0.06095305401493467,041,088,143,157,133,042
226,6,0.023068047672839098,011,080,102,079,105,192
227,6,0.022531504543731984,165,159,051,017,068,078
228,6,0.026476067758499533,121,053,163,172,062,065
229,6,0.016907258744445208,134,113,078,049,190,153
230,6,0.04190727184972021,054,096,195,105,066,147
231,6,0.027562204379449673,163,008,103,013,136,052
232,6,0.03128995313793359,049,061,031,115,109,057
233,6,0.01894442929821849,011,015,134,138,078,083
234,6,0.02346951583380119,168,136,074,137,011,089
235,6,0.033865657747965794,005,193,120,125,183,024
236,6,0.02352571083456345,075,196,132,106,193,022
237,6,0.022410404071206536,076,036,073,163,183,165
238,6,0.057564152179714334,173,121,060,064,101,194
239,6,0.026230598915544467,005,189,105,181,072,019
240,6,0.030915233910241313,018,151,141,178,034,098
241,6,0.05385247032496587,065,190,063,187,073,157
242,6,0.032175629489296864,000,119,195,121,055,142
243,6,0.05248009907563256,163,189,083,130,157,000
244,6,0.020007413828190934,150,037,170,003,038,078
245,6,0.0278332986052382,067,114,015,024,044,185
246,6,0.024388364028261167,143,035,121,033,109,194
247,6,0.02368838972840015,098,048,170,138,142,091
248,6,0.026886607657380046,037,088,082,034,168,147
249,6,0.029264552438873825,016,133,090,101,049,141
250,6,0.027448507732435123,082,074,190,008,066,013
251,6,0.021435183052336826,059,045,134,097,127,012
252,6,0.024751563972039925,070,068,089,036,091,017
253,6,0.015714204549085564,183,174,040,149,134,175
254,6,0.007897516725986486,042,007,149,185,080,187
255,6,0.014887822940095274,140,000,138,142,148,141
256,6,0.027470297889025663,140,080,136,032,198,150
257,6,0.012186864094069771,188,080,160,189,092,169
258,6,0.030366530476816034,172,045,150,025,161,064
259,6,0.017878752598595504,190,062,037,046,127,103
260,6,0.020745391599779395,133,147,105,116,097,107
261,6,0.04136046539138705,178,118,107,157,120,089
