subjectID,m,event,scenario,zstat,history,witness,physical,witness_weight,history_weight,physical_weight,weight_sum,witness_wc,history_wc,physical_wc,wc_sum
19934,avg_reading_evidence_mask,evidence,3,-2.0088951269999997,unrelatedPrior,noWitness,DNA,0.0,4.2642698,36.1830974,40.4473672,8,8,10,26
19934,avg_reading_evidence_mask,evidence,4,1.103688523,noPrior,noWitness,noPhys,0.0,0.0,0.0,0.0,7,5,7,19
19934,avg_reading_evidence_mask,evidence,5,-0.08919229189,relatedPrior,noWitness,DNA,0.0,11.0251225,36.1830974,47.2082199,10,7,14,31
19934,avg_reading_evidence_mask,evidence,6,-0.3336861329,relatedPrior,noWitness,nonDNA,0.0,11.0251225,34.964065999999995,45.9891885,7,6,9,22
19934,avg_reading_evidence_mask,evidence,7,1.924489313,relatedPrior,noWitness,noPhys,0.0,11.0251225,0.0,11.0251225,10,7,8,25
19934,avg_reading_evidence_mask,evidence,8,1.729684414,noPrior,isWitness,DNA,22.1853797,0.0,36.1830974,58.3684771,16,7,18,41
19934,avg_reading_evidence_mask,evidence,9,2.105553722,noPrior,isWitness,nonDNA,22.1853797,0.0,34.964065999999995,57.149445699999994,11,8,13,32
19934,avg_reading_evidence_mask,evidence,10,0.8475067172,noPrior,isWitness,noPhys,22.1853797,0.0,0.0,22.1853797,18,7,8,33
19934,avg_reading_evidence_mask,evidence,11,1.65431707,unrelatedPrior,isWitness,noPhys,22.1853797,4.2642698,0.0,26.4496495,15,8,8,31
19934,avg_reading_evidence_mask,evidence,12,0.7469865104000001,relatedPrior,isWitness,DNA,22.1853797,11.0251225,36.1830974,69.3935996,12,6,14,32
19934,avg_reading_evidence_mask,evidence,13,1.4216812540000001,relatedPrior,noWitness,DNA,0.0,11.0251225,36.1830974,47.2082199,7,6,14,27
19934,avg_reading_evidence_mask,evidence,14,0.07732356087,unrelatedPrior,isWitness,noPhys,22.1853797,4.2642698,0.0,26.4496495,15,9,9,33
19934,avg_reading_evidence_mask,evidence,15,1.3002380390000001,noPrior,isWitness,nonDNA,22.1853797,0.0,34.964065999999995,57.149445699999994,18,5,16,39
19934,avg_reading_evidence_mask,evidence,16,1.003057169,noPrior,noWitness,nonDNA,0.0,0.0,34.964065999999995,34.964065999999995,10,5,11,26
19934,avg_reading_evidence_mask,evidence,17,0.08850662694,relatedPrior,noWitness,nonDNA,0.0,11.0251225,34.964065999999995,45.9891885,5,13,12,30
19934,avg_reading_evidence_mask,evidence,18,0.5240616169,noPrior,noWitness,noPhys,0.0,0.0,0.0,0.0,9,7,8,24
19934,avg_reading_evidence_mask,evidence,19,1.0793465420000001,relatedPrior,isWitness,noPhys,22.1853797,11.0251225,0.0,33.2105022,21,14,8,43
19934,avg_reading_evidence_mask,evidence,20,-0.2682242771,unrelatedPrior,noWitness,noPhys,0.0,4.2642698,0.0,4.2642698,7,11,10,28
19934,avg_reading_evidence_mask,evidence,21,0.5657630059000001,relatedPrior,noWitness,noPhys,0.0,11.0251225,0.0,11.0251225,14,7,9,30
19934,avg_reading_evidence_mask,evidence,22,0.8464673099,unrelatedPrior,isWitness,nonDNA,22.1853797,4.2642698,34.964065999999995,61.413715499999995,11,12,10,33
19934,avg_reading_evidence_mask,evidence,23,0.6029910551,relatedPrior,noWitness,noPhys,0.0,11.0251225,0.0,11.0251225,7,7,8,22
19934,avg_reading_evidence_mask,evidence,24,1.21942914,noPrior,isWitness,noPhys,22.1853797,0.0,0.0,22.1853797,18,10,10,38
19934,avg_reading_evidence_mask,evidence,25,0.9736953168000001,unrelatedPrior,isWitness,DNA,22.1853797,4.2642698,36.1830974,62.6327469,16,11,9,36
19934,avg_reading_evidence_mask,evidence,26,1.336785795,relatedPrior,noWitness,DNA,0.0,11.0251225,36.1830974,47.2082199,13,15,17,45
19934,avg_reading_evidence_mask,evidence,27,1.300978669,noPrior,noWitness,nonDNA,0.0,0.0,34.964065999999995,34.964065999999995,9,7,19,35
19934,avg_reading_evidence_mask,evidence,28,-0.024641051919999997,relatedPrior,noWitness,DNA,0.0,11.0251225,36.1830974,47.2082199,9,7,15,31
19934,avg_reading_evidence_mask,evidence,29,-0.8105342336,unrelatedPrior,isWitness,nonDNA,22.1853797,4.2642698,34.964065999999995,61.413715499999995,11,8,19,38
19934,avg_reading_evidence_mask,evidence,30,0.4440631215,relatedPrior,noWitness,noPhys,0.0,11.0251225,0.0,11.0251225,13,16,11,40
19934,avg_reading_evidence_mask,evidence,31,1.324865275,noPrior,isWitness,noPhys,22.1853797,0.0,0.0,22.1853797,20,5,8,33
19934,avg_reading_evidence_mask,evidence,32,1.3905106219999999,relatedPrior,isWitness,nonDNA,22.1853797,11.0251225,34.964065999999995,68.1745682,11,6,10,27
19934,avg_reading_evidence_mask,evidence,33,-0.5437759797,relatedPrior,isWitness,nonDNA,22.1853797,11.0251225,34.964065999999995,68.1745682,16,17,14,47
19947,avg_reading_evidence_mask,evidence,1,-0.01577632435,unrelatedPrior,noWitness,nonDNA,0.0,4.2642698,34.964065999999995,39.228335799999996,7,8,13,28
19947,avg_reading_evidence_mask,evidence,2,0.4391863449,relatedPrior,noWitness,noPhys,0.0,11.0251225,0.0,11.0251225,8,8,8,24
19947,avg_reading_evidence_mask,evidence,3,2.709854436,noPrior,isWitness,noPhys,22.1853797,0.0,0.0,22.1853797,7,5,8,20
19947,avg_reading_evidence_mask,evidence,4,0.5208345055,noPrior,noWitness,DNA,0.0,0.0,36.1830974,36.1830974,7,5,16,28
19947,avg_reading_evidence_mask,evidence,5,0.5364052171,noPrior,isWitness,nonDNA,22.1853797,0.0,34.964065999999995,57.149445699999994,18,5,11,34
19947,avg_reading_evidence_mask,evidence,6,1.31051191,relatedPrior,isWitness,DNA,22.1853797,11.0251225,36.1830974,69.3935996,13,6,16,35
19947,avg_reading_evidence_mask,evidence,7,-1.259439637,unrelatedPrior,noWitness,nonDNA,0.0,4.2642698,34.964065999999995,39.228335799999996,10,8,13,31
19947,avg_reading_evidence_mask,evidence,8,0.1228891443,noPrior,isWitness,noPhys,22.1853797,0.0,0.0,22.1853797,16,7,13,36
19947,avg_reading_evidence_mask,evidence,9,1.823800511,relatedPrior,isWitness,nonDNA,22.1853797,11.0251225,34.964065999999995,68.1745682,11,6,13,30
19947,avg_reading_evidence_mask,evidence,10,1.38867089,unrelatedPrior,noWitness,nonDNA,0.0,4.2642698,34.964065999999995,39.228335799999996,8,8,15,31
