subjectID,m,event,scenario,zstat,history,witness,physical,witness_weight,history_weight,physical_weight,weight_sum,witness_fk_grade,witness_wc,history_fk_grade,history_wc,physical_fk_grade,physical_wc,wc_sum,fk_grade_sum,fk_grade_avg
19933,juror_evidence_thresh_mask,evidence,1,0.9685309397,unrelatedPrior,noWitness,noPhys,0.0,4.2642698,0.0,4.2642698,0.6257142857142846,7,5.230000000000004,8,8.89777777777778,9,24,14.753492063492068,4.91783068783069
19933,juror_evidence_thresh_mask,evidence,2,0.9665590621,unrelatedPrior,isWitness,noPhys,22.1853797,4.2642698,0.0,26.4496495,7.570000000000004,14,11.130000000000003,8,11.130000000000003,8,30,29.83000000000001,9.943333333333337
19933,juror_evidence_thresh_mask,evidence,3,0.1136445777,unrelatedPrior,isWitness,nonDNA,22.1853797,4.2642698,34.964065999999995,61.413715499999995,7.368571428571428,7,15.555000000000003,8,7.570000000000004,14,29,30.493571428571435,10.164523809523812
19933,juror_evidence_thresh_mask,evidence,4,-0.7007701756,noPrior,isWitness,nonDNA,22.1853797,0.0,34.964065999999995,57.149445699999994,11.096666666666668,18,9.96,5,13.673333333333336,12,35,34.730000000000004,11.576666666666668
19933,juror_evidence_thresh_mask,evidence,5,1.324600563,relatedPrior,noWitness,DNA,0.0,11.0251225,36.1830974,47.2082199,10.73,10,12.425714285714289,7,13.470000000000002,14,31,36.625714285714295,12.208571428571432
19933,juror_evidence_thresh_mask,evidence,6,0.7191830483,noPrior,noWitness,noPhys,0.0,0.0,0.0,0.0,5.682857142857145,7,7.600000000000001,5,11.520000000000003,9,21,24.80285714285715,8.26761904761905
19933,juror_evidence_thresh_mask,evidence,7,-0.39303842640000003,unrelatedPrior,isWitness,DNA,22.1853797,4.2642698,36.1830974,62.6327469,6.936363636363637,11,12.605000000000004,8,8.009090909090911,11,30,27.550454545454553,9.18348484848485
19933,juror_evidence_thresh_mask,evidence,8,0.6511480470000001,noPrior,isWitness,noPhys,22.1853797,0.0,0.0,22.1853797,8.350000000000005,16,7.368571428571428,7,10.356923076923078,13,36,26.07549450549451,8.691831501831503
19933,juror_evidence_thresh_mask,evidence,9,1.104660011,relatedPrior,isWitness,nonDNA,22.1853797,11.0251225,34.964065999999995,68.1745682,11.22727272727273,11,14.283333333333335,6,12.172307692307694,13,30,37.68291375291376,12.560971250971255
19933,juror_evidence_thresh_mask,evidence,10,0.6736081748999999,noPrior,isWitness,DNA,22.1853797,0.0,36.1830974,58.3684771,7.818888888888889,18,3.997142857142858,7,4.790909090909089,11,36,16.606940836940836,5.5356469456469455
19933,juror_evidence_thresh_mask,evidence,11,1.560713913,unrelatedPrior,noWitness,DNA,0.0,4.2642698,36.1830974,40.4473672,9.054285714285715,7,15.555000000000003,8,7.818888888888889,18,33,32.42817460317461,10.809391534391537
19933,juror_evidence_thresh_mask,evidence,12,-0.5872542922999999,relatedPrior,noWitness,nonDNA,0.0,11.0251225,34.964065999999995,45.9891885,9.054285714285715,7,12.316666666666666,6,14.270000000000007,10,23,35.640952380952385,11.880317460317462
19933,juror_evidence_thresh_mask,evidence,13,0.6027051929999999,unrelatedPrior,isWitness,noPhys,22.1853797,4.2642698,0.0,26.4496495,4.450000000000003,6,12.605000000000004,8,15.555000000000003,8,22,32.610000000000014,10.870000000000005
19933,juror_evidence_thresh_mask,evidence,14,0.1147719925,relatedPrior,noWitness,nonDNA,0.0,11.0251225,34.964065999999995,45.9891885,5.682857142857145,7,10.740000000000002,7,13.073333333333338,15,29,29.496190476190485,9.832063492063496
19933,juror_evidence_thresh_mask,evidence,15,0.5211524552000001,unrelatedPrior,noWitness,noPhys,0.0,4.2642698,0.0,4.2642698,9.57,4,15.45,10,11.91,10,24,36.93,12.31
19933,juror_evidence_thresh_mask,evidence,16,1.7711332730000002,relatedPrior,noWitness,noPhys,0.0,11.0251225,0.0,11.0251225,7.190000000000001,10,9.55,10,11.130000000000003,8,28,27.870000000000005,9.290000000000001
19933,juror_evidence_thresh_mask,evidence,17,-1.878443251,noPrior,noWitness,nonDNA,0.0,0.0,34.964065999999995,34.964065999999995,9.96,5,5.240000000000002,5,12.690000000000001,12,22,27.890000000000004,9.296666666666669
19933,juror_evidence_thresh_mask,evidence,18,0.502737741,noPrior,isWitness,nonDNA,22.1853797,0.0,34.964065999999995,57.149445699999994,10.356923076923078,13,7.368571428571428,7,8.370000000000001,10,30,26.095494505494507,8.698498168498169
19933,juror_evidence_thresh_mask,evidence,19,0.6359977378,noPrior,noWitness,DNA,0.0,0.0,36.1830974,36.1830974,9.081818181818182,11,11.130000000000003,8,8.39294117647059,17,36,28.604759358288774,9.534919786096259
19933,juror_evidence_thresh_mask,evidence,20,1.240377883,unrelatedPrior,noWitness,noPhys,0.0,4.2642698,0.0,4.2642698,7.368571428571428,7,17.663636363636368,11,10.73,10,28,35.762207792207796,11.920735930735932
19933,juror_evidence_thresh_mask,evidence,21,1.7714674,relatedPrior,isWitness,DNA,22.1853797,11.0251225,36.1830974,69.3935996,9.457142857142859,21,7.368571428571428,7,3.650000000000002,10,38,20.47571428571429,6.825238095238096
19933,juror_evidence_thresh_mask,evidence,22,0.007955899962000001,unrelatedPrior,isWitness,nonDNA,22.1853797,4.2642698,34.964065999999995,61.413715499999995,9.081818181818182,11,7.773333333333333,12,10.73,10,33,27.585151515151516,9.195050505050505
19933,juror_evidence_thresh_mask,evidence,23,0.5791459396,relatedPrior,noWitness,DNA,0.0,11.0251225,36.1830974,47.2082199,3.997142857142858,7,5.682857142857145,7,5.884285714285717,14,28,15.56428571428572,5.18809523809524
